2016;main;Alessandra Gorla;IMDEA Software Institute
2016;main;Andrea Arcuri;Scienta – University of Luxembourg
2016;main;Arilo Dias-Neto;Federal University of Amazonas
2016;main;Chris Simon;University of the West of England
2016;main;Claire Le Goues;Carnegie Mellon University
2016;main;Dongsun Kim;University of Luxembourg
2016;main;Francisco Chicano;University of Málaga
2016;main;Gregory Gay;University of South Carolina
2016;main;Giuliano Antoniol;École Polytechnique de Montréal
2016;main;Gordon Fraser;University of Sheffield
2016;main;Houari A. Sahraoui;University of Montreal
2016;main;Jerffeson Teixeira de Souza;State University of Ceara
2016;main;Jerry Swan;University of York
2016;main;John Clark;University of York
2016;main;Juan Pablo Galeotti;University of Buenos Aires
2016;main;Justyna Petke;University College London
2016;main;Lars Grunske;University of Stuttgart
2016;main;Marcio Barros;Universidade Federal do Estado do Rio de Janeiro
2016;main;Mark Harman;University College London
2016;main;Marc Roper;University of Strathclyde
2016;main;Myra Cohen;University of Nebraska
2016;main;Nadia Alshahwan;J.P. Morgan
2016;main;Paolo Tonella;Fondazione Bruno Kessler
2016;main;Phil McMinn;University of Sheffield
2016;main;Raluca Lefticaru;University of Bucharest
2016;main;Shaukat Ali;Simula Research Laboratory
2016;main;Shin Yoo;Korea Advanced Institute of Science and Technology
2016;main;Tim Menzies;NC State University
2016;main;Yuanyaun Zhang;University College London
2016;main;Zheng Li;Beijing University of Chemical Technology
2015;main;Shaukat Ali;Simula Research Laboratory
2015;main;Leonardo Bottaci;University of Hull
2015;main;John Clark;University of York
2015;main;Thelma Collanzi;Universidade Estadual de Maringá
2015;main;Massimiliano Di Penta;University of Sannio
2015;main;Arilo Dias-Neto;Universidade Federal do Amazonas
2015;main;Robert Feldt;University of Blekinge
2015;main;Gordon Fraser;University of Sheffield
2015;main;Mathew Hall;University of Sheffield
2015;main;Colin Johnson;University of Kent
2015;main;Marouane Kessentini;University of Michigan
2015;main;Fitsum Kifetew;Fondazione Bruno Kessler
2015;main;Dongsun Kim;University of Luxembourg
