dblp_acronym, URL, Vol_start, Vol_end, Name, f_name
jss, http://dblp.uni-trier.de/db/journals/jss/, 14, 122, Journal of Systems and Software,
tse, http://dblp.uni-trier.de/db/journals/tse/, 17, 42, IEEE Transactions on Software Engineering,
software, http://dblp.uni-trier.de/db/journals/software/, 8, 33, IEEE Software,
ese, http://dblp.uni-trier.de/db/journals/ese/, 1, 21, Empirical Software Engineering,
spe, http://dblp.uni-trier.de/db/journals/spe/, 21, 46, Software - Practice and Experience,
ijseke, http://dblp.uni-trier.de/db/journals/ijseke/ 1, 26, International Journal of Software Engineering and Knowledge Engineering,
isse, http://dblp.uni-trier.de/db/journals/isse/, 1, 12, Innovations in Systems and Software Engineering,
smr, http://dblp.uni-trier.de/db/journals/smr/, 3, 28, Journal of Software: Evolution and Process,
sigsoft, http://dblp.uni-trier.de/db/journals/sigsoft/, 24, 41, ACM SIGSOFT Software Engineering Notes,
re, http://dblp.uni-trier.de/db/journals/re/, 1, 21, Requirements Engineering, rej
tosem, http://dblp.uni-trier.de/db/journals/tosem/, 1, 25, Transactions on Software Engineering and Methodology,
ase, http://dblp.uni-trier.de/db/journals/ase/, 1, 24, Automated Software Engineering, asej
sqj, http://dblp.uni-trier.de/db/journals/sqj/, 4, 24, Software Quality Journal, sqj
stvr, http://dblp.uni-trier.de/db/journals/stvr/, 1, 26, Software Testing, Verification & Reliability, stvr
infsof, http://dblp.uni-trier.de/db/journals/infsof/, 34, 80, Information and Software Technology, ist
