2015;Priya Narasimhan,Utsav Drolia,Jiaqi Tan,Nathan D. Mickulicz,Rajeev Gandhi;The next-generation in-stadium experience (keynote).;1-10;10;GPCE;
2015;Roland Leißa,Klaas Boesche,Sebastian Hack,Richard Membarth,Philipp Slusallek;Shallow embedding of DSLs via online partial evaluation.;11-20;10;GPCE;
2015;Maximilian Scherr,Shigeru Chiba;Almost first-class language embedding: taming staged embedded DSLs.;21-30;10;GPCE;
2015;Bob Reynders,Dominique Devriese,Frank Piessens;Generating safe boundary APIs between typed EDSLs and their environments.;31-34;4;GPCE;
2015;Flávio Medeiros,Iran Rodrigues,Márcio Ribeiro,Leopoldo Teixeira,Rohit Gheyi;An empirical study on configuration-related issues: investigating undeclared and unused identifiers.;35-44;10;GPCE;
2015;Sascha El-Sharkawy,Adam Krafczyk,Klaus Schmid;Analysing the Kconfig semantics and its analysis tools.;45-54;10;GPCE;
2015;Zakarea Alshara,Abdelhak-Djamel Seriai,Chouki Tibermacine,Hinde-Lilia Bouziane,Christophe Dony,Anas Shatnawi;Migrating large object-oriented Applications into component-based ones: instantiation and inheritance transformation.;55-64;10;GPCE;
2015;Michael Lopez,C. Jasson Casey,Gabriel Dos Reis,Colton Chojnacki;Safer SDN programming through Arbiter.;65-74;10;GPCE;
2015;Alexey Kolesnichenko,Christopher M. Poskitt,Sebastian Nanz,Bertrand Meyer;Contract-based general-purpose GPU programming.;75-84;10;GPCE;
2015;Hiroshi Yamaguchi,Shigeru Chiba;Inverse macro in Scala.;85-94;10;GPCE;
2015;Sorin Adam,Ulrik Pagh Schultz;Towards tool support for spreadsheet-based domain-specific languages.;95-98;4;GPCE;
2015;Antuan Byalik,Sanchit Chadha,Eli Tilevich;Native-2-native: automated cross-platform code synthesis from web-based programming resources.;99-108;10;GPCE;
2015;Dmitri Makarov,Matthias Hauswirth;CLOP: a multi-stage compiler to seamlessly embed heterogeneous code.;109-112;4;GPCE;
2015;Jan Oliver Ringert,Bernhard Rumpe,Andreas Wortmann;Composing code generators for C&C ADLs with Application-specific behavior languages (tool demonstration).;113-116;4;GPCE;
2015;Milan Kabác,Charles Consel;Orchestrating masses of sensors: a design-driven development Approach.;117-120;4;GPCE;
2015;Gabriel Foust,Jaakko Järvi,Sean Parent;Generating reactive programs for graphical user interfaces from multi-way dataflow constraint systems.;121-130;10;GPCE;
2015;Spencer P. Florence,Burke Fetscher,Matthew Flatt,William H. Temps,Tina Kiguradze,Dennis P. West,Charlotte Niznik,Paul R. Yarnold,Robert Bruce Findler,Steven M. Belknap;POP-PL: a patient-oriented prescription programming language.;131-140;10;GPCE;
