2015;Gabriel A. Moreno,Javier Cámara,David Garlan,Bradley R. Schmerl;Proactive self-adaptation under uncertainty: a probabilistic model checking approach.;1-12;12;Adaptive Systems;
2015;Antonio Filieri,Henry Hoffmann,Martina Maggio;Automated multi-objective control for self-adaptive software design.;13-24;12;Adaptive Systems;
2015;Gholamreza Safi,Arman Shahbazian,William G. J. Halfond,Nenad Medvidovic;Detecting event anomalies in event-based systems.;25-37;13;Adaptive Systems;
2015;Miltiadis Allamanis,Earl T. Barr,Christian Bird,Charles A. Sutton;Suggesting accurate method and class names.;38-49;12;Software Quality;
2015;Neil A. Ernst,Stephany Bellomo,Ipek Ozkaya,Robert L. Nord,Ian Gorton;Measure it? Manage it? Ignore it? software practitioners and technical debt.;50-60;11;Software Quality;
2015;Lucas Bang,Abdulbaki Aydin,Tevfik Bultan;Automatically computing path complexity of programs.;61-72;12;Software Quality;
2015;Ankush Desai,Shaz Qadeer,Sanjit A. Seshia;Systematic testing of asynchronous reactive systems.;73-83;11;Synthesis and Search-Based Approaches for Reactive Systems;
2015;Reza Matinnejad,Shiva Nejati,Lionel C. Briand,Thomas Bruckmann;Effective test suites for mixed discrete-continuous stateflow controllers.;84-95;12;Synthesis and Search-Based Approaches for Reactive Systems;
2015;Shahar Maoz,Jan Oliver Ringert;GR(1) synthesis for LTL specification patterns.;96-106;11;Synthesis and Search-Based Approaches for Reactive Systems;
2015;Ermira Daka,José Campos,Gordon Fraser,Jonathan Dorn,Westley Weimer;Modeling readability to improve unit tests.;107-118;12;Testing I;
2015;Paolo Arcaini,Angelo Gargantini,Elvinia Riccobene;Improving model-based test generation by model decomposition.;119-130;12;Testing I;
2015;Malavika Samak,Murali Krishna Ramanathan;Synthesizing tests for detecting atomicity violations.;131-142;12;Testing I;
2015;Mario Linares Vásquez,Gabriele Bavota,Carlos Eduardo Bernal-Cárdenas,Rocco Oliveto,Massimiliano Di Penta,Denys Poshyvanyk;Optimizing energy consumption of GUIs in Android apps: a multi-objective approach.;143-154;12;Search-Based Approaches to Testing, Repair, and Energy Optimisation;
