2017;Massila Kamalrudin,John G. Hosking,John Grundy;MaramaAIC: tool support for consistency management and validation of requirements.;1-45;45;Volume 24, Number 1, March 2017;
2017;Zhi-Wu Zhang,Xiao-Yuan Jing,Tiejian Wang;Label propagation based semi-supervised learning for software defect prediction.;47-69;23;Volume 24, Number 1, March 2017;
2017;José Merseguer,Walter Binder,John Murphy 0001;Guest Editorial: Automation in Software Performance Engineering.;71-72;2;Volume 24, Number 1, March 2017;
2017;Ricardo J. Rodríguez;A Petri net tool for software performance estimation based on upper throughput bounds.;73-99;27;Volume 24, Number 1, March 2017;
2017;Yu Sun 0002,Jules White,Bo Li,Michael Walker,Hamilton A. Turner;Automated QoS-oriented cloud resource optimization using containers.;101-137;37;Volume 24, Number 1, March 2017;
2017;Lubomír Bulej,Tomás Bures,Vojtech Horký,Jaroslav Kotrc,Lukás Marek,Tomás Trojánek,Petr Tuma;Unit testing performance with Stochastic Performance Logic.;139-187;49;Volume 24, Number 1, March 2017;
2017;Mark D. Syer,Weiyi Shang,Zhen Ming Jiang,Ahmed E. Hassan;Continuous validation of performance test workloads.;189-231;43;Volume 24, Number 1, March 2017;
2016;Robert J. Hall;Editorial introduction.;1-2;2;Volume 23, Number 1, March 2016;
2016;Tegawendé F. Bissyandé,Laurent Réveillère,Julia L. Lawall,Gilles Muller;Ahead of time static analysis for automatic generation of debugging interfaces to the Linux kernel.;3-41;39;Volume 23, Number 1, March 2016;
2016;Xin Xia,Liang Gong,Tien-Duy B. Le,David Lo,Lingxiao Jiang,Hongyu Zhang;Diversity maximization speedup for localizing faults in single-fault and multi-fault programs.;43-75;33;Volume 23, Number 1, March 2016;
2016;Jeffrey L. Overbey,Ralph E. Johnson,Munawar Hafiz;Differential precondition checking: a language-independent, reusable analysis for refactoring engines.;77-104;28;Volume 23, Number 1, March 2016;
2016;Dietmar Jannach,Thomas Schmitz;Model-based diagnosis of spreadsheet programs: a constraint-based debugging approach.;105-144;40;Volume 23, Number 1, March 2016;
2016;Robert J. Hall;Editorial Introduction.;145-146;2;Volume 23, Number 2, June 2016;
2016;Ebrahim Bagheri,Faezeh Ensan;Semantic tagging and linking of software engineering social content.;147-190;44;Volume 23, Number 2, June 2016;
2016;Olivier Ponsini,Claude Michel,Michel Rueher;Verifying floating-point programs with constraint programming and abstract interpretation techniques.;191-217;27;Volume 23, Number 2, June 2016;
2016;Alejandro Rago,Claudia Marcos,Jorge Andrés Díaz Pace;Assisting requirements analysts to find latent concerns with REAssistant.;219-252;34;Volume 23, Number 2, June 2016;
2016;Thomas R. Devine,Katerina Goseva-Popstojanova,Sandeep Krishnan,Robyn R. Lutz;Assessment and cross-product prediction of software product line quality: accounting for reuse across products, over multiple releases.;253-302;50;Volume 23, Number 2, June 2016;
2016;Robert J. Hall;Editorial introduction.;303-304;2;Volume 23, Number 3, September 2016;
2016;Louise A. Dennis,Michael Fisher,Nicholas Lincoln,Alexei Lisitsa,Sandor M. Veres;Practical verification of decision-making in agent-based autonomous systems.;305-359;55;Volume 23, Number 3, September 2016;
2016;Jácome Cunha,Martin Erwig,Jorge Mendes,João Saraiva;Model inference for spreadsheets.;361-392;32;Volume 23, Number 3, September 2016;
2016;Shaowei Wang,David Lo,Lingxiao Jiang;AutoQuery: automatic construction of dependency queries for code search.;393-425;33;Volume 23, Number 3, September 2016;
2016;Minh Tu Ton That,Salah Sadou,Flávio Oquendo,Régis Fleurquin;Preserving architectural decisions through architectural patterns.;427-467;41;Volume 23, Number 3, September 2016;
2016;Tian Tian,Dunwei Gong;Test data generation for path coverage of message-passing parallel programs based on co-evolutionary genetic algorithms.;469-500;32;Volume 23, Number 3, September 2016;
2016;Santiago A. Vidal,Claudia Marcos,Jorge Andrés Díaz Pace;An approach to prioritize code smells for refactoring.;501-532;32;Volume 23, Number 3, September 2016;
2016;Robert J. Hall;Editorial introduction.;533-534;2;Volume 23, Number 4, December 2016;
2016;Chun-Feng Liao,Kung Chen,Deik Hoong Tan,Jiu-Jye Chen;Automatic query rewriting schemes for multitenant SaaS applications.;535-568;34;Volume 23, Number 4, December 2016;
2016;Tiejian Wang,Zhiwu Zhang,Xiaoyuan Jing,Liqiang Zhang;Multiple kernel ensemble learning for software defect prediction.;569-590;22;Volume 23, Number 4, December 2016;
2016;Daeyoung Kim 0004,Amruta Gokhale,Vinod Ganapathy,Abhinav Srivastava;Detecting plagiarized mobile apps using API birthmarks.;591-618;28;Volume 23, Number 4, December 2016;
2016;Shane McIntosh,Bram Adams,Meiyappan Nagappan,Ahmed E. Hassan;Identifying and understanding header file hotspots in C/C++ build processes.;619-647;29;Volume 23, Number 4, December 2016;
2016;Pierre André Ménard,Sylvie Ratté;Concept extraction from business documents for software engineering projects.;649-686;38;Volume 23, Number 4, December 2016;
2016;Johannes Bürdek,Timo Kehrer,Malte Lochau,Dennis Reuling,Udo Kelter,Andy Schürr;Reasoning about product-line evolution using complex feature model differences.;687-733;47;Volume 23, Number 4, December 2016;
2015;Rachel Harrison,Tim Menzies;Guest editorial: special issue on realizing AI synergies in software engineering.;1-2;2;Volume 22, Number 1, March 2015;
2015;LiGuo Huang,Vincent Ng,Isaac Persing,Mingrui Chen,Zeheng Li,Ruili Geng,Jeff Tian;AutoODC: Automated generation of orthogonal defect classifications.;3-46;44;Volume 22, Number 1, March 2015;
2015;Birgit Hofer,Alexandre Perez,Rui Abreu,Franz Wotawa;On the empirical evaluation of similarity coefficients for spreadsheets fault localization.;47-74;28;Volume 22, Number 1, March 2015;
2015;Xin Xia,David Lo,Emad Shihab,Xinyu Wang,Bo Zhou;Automatic, high accuracy prediction of reopened bugs.;75-109;35;Volume 22, Number 1, March 2015;
2015;Wei Zhang,LiGuo Huang,Vincent Ng,Jidong Ge;SMPLearner: learning to predict software maintainability.;111-141;31;Volume 22, Number 1, March 2015;
2015;Rachel Harrison,Tim Menzies;Guest editorial: special issue on realizing AI synergies in software engineering (part 2).;143-144;2;Volume 22, Number 2, June 2015;
2015;Mika Cohen,Ulrik Franke;An experiment in ontology use for command and control interoperability.;145-157;13;Volume 22, Number 2, June 2015;
2015;Constance L. Heitmeyer,Marc Pickett,Elizabeth I. Leonard,Myla M. Archer,Indrakshi Ray,David W. Aha,J. Gregory Trafton;Building high assurance human-centric decision systems.;159-197;39;Volume 22, Number 2, June 2015;
2015;Aldeida Aleti;Designing automotive embedded systems with adaptive genetic algorithms.;199-240;42;Volume 22, Number 2, June 2015;
2015;Samad Paydar,Mohsen Kahani;A semantic web enabled approach to reuse functional requirements models in web engineering.;241-288;48;Volume 22, Number 2, June 2015;
2015;Tim Menzies,Corina S. Pasareanu;Guest editorial: special multi-issue on selected topics in Automated Software Engineering.;289-290;2;Volume 22, Number 3, September 2015;
2015;Adel Noureddine,Romain Rouvoy,Lionel Seinturier;Monitoring energy hotspots in software - Energy profiling of software code.;291-332;42;Volume 22, Number 3, September 2015;
2015;Xusheng Xiao,Nikolai Tillmann,Manuel Fähndrich,Jonathan de Halleux,Michal Moskal,Tao Xie;User-aware privacy control via extended static-information-flow analysis.;333-366;34;Volume 22, Number 3, September 2015;
2015;Olaf Leßenich,Sven Apel,Christian Lengauer;Balancing precision and performance in structured merge.;367-397;31;Volume 22, Number 3, September 2015;
2015;Ábel Hegedüs,Ákos Horváth,Dániel Varró;A model-driven framework for guided design space exploration.;399-436;38;Volume 22, Number 3, September 2015;
2015;Tim Menzies,Corina S. Pasareanu;Guest editorial: special multi-issue on selected topics in automated software engineering.;437-438;2;Volume 22, Number 4, December 2015;
2015;Kai Pan,Xintao Wu,Tao Xie;Program-input generation for testing database applications using existing database states.;439-473;35;Volume 22, Number 4, December 2015;
2015;Kari Kähkönen,Olli Saarikivi,Keijo Heljanko;Unfolding based automated testing of multithreaded programs.;475-515;41;Volume 22, Number 4, December 2015;
2015;Franjo Ivancic,Gogul Balakrishnan,Aarti Gupta,Sriram Sankaranarayanan,Naoto Maeda,Takashi Imoto,Rakesh Pothengil,Mustafa Hussain;Scalable and scope-bounded software verification in Varvel.;517-559;43;Volume 22, Number 4, December 2015;
