2016;Mohamed El-Attar,Hezam Akram Abdul-Ghani;Using security robustness analysis for early-stage validation of functional security requirements.;1-27;27;Volume 21, Number 1, March 2016;
2016;Jennifer Horkoff,Eric S. K. Yu;Interactive goal model analysis for early requirements engineering.;29-61;33;Volume 21, Number 1, March 2016;
2016;Kathrin Figl,Jan Recker;Exploring cognitive style and task-specific preferences for process representations.;63-85;23;Volume 21, Number 1, March 2016;
2016;Rachida Djouab,Alain Abran,Ahmed Seffah;An ASPIRE-based method for quality requirements identification from business goals.;87-106;20;Volume 21, Number 1, March 2016;
2016;Abraham Nieva de la Hidalga,Alex Hardisty,Andrew C. Jones;SCRAM-CK: applying a collaborative requirements engineering process for designing a web based e-science toolkit.;107-129;23;Volume 21, Number 1, March 2016;
2016;Jennifer Baldwin,Alvin Teh,Elisa L. A. Baniassad,Dirk Van Rooy,Yvonne Coady;Requirements for tools for comprehending highly specialized assembly language code and how to elicit these requirements.;131-159;29;Volume 21, Number 1, March 2016;
2016;Junjie Wang,Qing Wang;Analyzing and predicting software integration bugs using network analysis on requirements dependency network.;161-184;24;Volume 21, Number 2, June 2016;
2016;Ahmet Serkan Karatas,Halit Oguztüzün;Attribute-based variability in feature models.;185-208;24;Volume 21, Number 2, June 2016;
2016;Shamal Faily,Ivan Flechais;Finding and resolving security misusability with misusability cases.;209-223;15;Volume 21, Number 2, June 2016;
2016;Eduardo B. Fernández,Raúl Monge,Keiko Hashizume;Building a security reference architecture for cloud systems.;225-249;25;Volume 21, Number 2, June 2016;
2016;Amina Souag,Raúl Mazo,Camille Salinesi,Isabelle Comyn-Wattiau;Reusable knowledge in security requirements engineering: a systematic mapping study.;251-283;33;Volume 21, Number 2, June 2016;
2016;Jameleddine Hassine,Daniel Amyot;A questionnaire-based survey methodology for systematically validating goal-oriented models.;285-308;24;Volume 21, Number 2, June 2016;
2016;Didar Zowghi,Vincenzo Gervasi;Introduction to the special issue of best papers from RE2015 conference.;309-310;2;Volume 21, Number 3, September 2016;
2016;Walid Maalej,Zijad Kurtanovic,Hadeer Nabil,Christoph Stanik;On the automatic classification of app reviews.;311-331;21;Volume 21, Number 3, September 2016;
2016;Alessio Ferrari,Paola Spoletini,Stefania Gnesi;Ambiguity and tacit knowledge in requirements elicitation interviews.;333-355;23;Volume 21, Number 3, September 2016;
2016;Anas Mahmoud,Grant Williams;Detecting, classifying, and tracing non-functional software requirements.;357-381;25;Volume 21, Number 3, September 2016;
2016;Garm Lucassen,Fabiano Dalpiaz,Jan Martijn E. M. van der Werf,Sjaak Brinkkemper;Improving agile requirements: the Quality User Story framework and tool.;383-403;21;Volume 21, Number 3, September 2016;
2016;Diego Dermeval,Jéssyka Vilela,Ig Ibert Bittencourt,Jaelson Castro,Seiji Isotani,Patrick Henrique da S. Brito,Alan Silva;Applications of ontologies in requirements engineering: a systematic review of the literature.;405-437;33;Volume 21, Number 4, November 2016;
2016;Luz-María Priego-Roche,Agnès Front,Dominique Rieu;A framework for virtual organization requirements.;439-460;22;Volume 21, Number 4, November 2016;
2016;Isabel María del Águila,José del Sagrado;Bayesian networks for enhancement of requirements engineering: a literature review.;461-480;20;Volume 21, Number 4, November 2016;
2016;Liliana Pasquale,Paola Spoletini,Mazeiar Salehie,Luca Cavallaro,Bashar Nuseibeh;Automating trade-off analysis of security requirements.;481-504;24;Volume 21, Number 4, November 2016;
2016;Hans Heerkens,Leo van der Wegen,Beatrice van der Heijden;Designing and assessing a course on prioritization and importance assessment in strategic non-routine requirements engineering processes.;505-520;16;Volume 21, Number 4, November 2016;
2016;Samuel A. Fricker,Kurt Schneider,Farnaz Fotrousi,Christoph Thuemmler;Workshop videos for requirements communication.;521-552;32;Volume 21, Number 4, November 2016;
2016;John L. Dargan,James S. Wasek,Enrique Campos-Náñez;Systems performance prediction using requirements quality attributes classification.;553-572;20;Volume 21, Number 4, November 2016;
2015;Nicola Zeni,Nadzeya Kiyavitskaya,Luisa Mich,James R. Cordy,John Mylopoulos;GaiusT: supporting the extraction of rights and obligations for regulatory compliance.;1-22;22;Volume 20, Number 1, March 2015;
2015;Leah Goldin,Daniel M. Berry;Reuse of requirements reduced time to market at one industrial shop: a case study.;23-44;22;Volume 20, Number 1, March 2015;
2015;Marko Komssi,Marjo Kauppinen,Harri Töhönen,Laura Lehtola,Alan M. Davis;Roadmapping problems in practice: value creation from the perspective of the customers.;45-69;25;Volume 20, Number 1, March 2015;
2015;Jelena Zdravkovic,Eric-Oluf Svee,Constantinos Giannoulis;Capturing consumer preferences as requirements for software product lines.;71-90;20;Volume 20, Number 1, March 2015;
2015;Mikael Svahnberg,Tony Gorschek,Thi Than Loan Nguyen,Mai Nguyen;Uni-REPM: a framework for requirements engineering process assessment.;91-118;28;Volume 20, Number 1, March 2015;
2015;Sofia Ouhbi,Ali Idri,José Luis Fernández Alemán,Ambrosio Toval;Requirements engineering education: a systematic mapping study.;119-138;20;Volume 20, Number 2, June 2015;
2015;Leandro Antonelli,Gustavo Rossi,Julio Cesar Sampaio do Prado Leite,João Araújo 0001;Early identification of crosscutting concerns with the Language Extended Lexicon.;139-161;23;Volume 20, Number 2, June 2015;
2015;Riccardo Scandariato,Kim Wuyts,Wouter Joosen;A descriptive study of Microsoft's threat modeling technique.;163-180;18;Volume 20, Number 2, June 2015;
2015;Jameleddine Hassine;Early modeling and validation of timed system requirements using Timed Use Case Maps.;181-211;31;Volume 20, Number 2, June 2015;
2015;Robyn R. Lutz;Introduction to the RE'14 special issue.;213-214;2;Volume 20, Number 3, September 2015;
2015;Piotr Pruski,Sugandha Lohar,William Goss,Alexander Rasin,Jane Cleland-Huang;TiQi: answering unstructured natural language trace queries.;215-232;18;Volume 20, Number 3, September 2015;
2015;Wenyi Qian,Xin Peng,Bihuan Chen,John Mylopoulos,Huanhuan Wang,Wenyun Zhao;Rationalism with a dose of empiricism: combining goal reasoning and case-based reasoning for self-adaptive software systems.;233-252;20;Volume 20, Number 3, September 2015;
2015;Tanmay Bhowmik,Nan Niu,Juha Savolainen,Anas Mahmoud;Leveraging topic modeling and part-of-speech tagging to support combinational creativity in requirements engineering.;253-280;28;Volume 20, Number 3, September 2015;
2015;Anas Mahmoud,Nan Niu;On the role of semantics in automated requirements tracing.;281-300;20;Volume 20, Number 3, September 2015;
2015;Chung-Horng Lung,Balasangar Balasubramaniam,Kamalachelva Selvarajah,Poopalasingham Elankeswaran,Umatharan Gopalasundaram;On building architecture-centric product line architecture.;301-321;21;Volume 20, Number 3, September 2015;
2015;Jessica Díaz,Jennifer Pérez,Juan Garbajosa;A model for tracing variability from features to product-line architectures: a case study in smart grids.;323-343;21;Volume 20, Number 3, September 2015;
2015;Lili Yang,Raj Prasanna,Malcolm King;GDIA: Eliciting information requirements in emergency first response.;345-362;18;Volume 20, Number 4, November 2015;
2015;Donia El Kateb,Nicola Zannone,Assaad Moawad,Patrice Caire,Grégory Nain,Tejeddine Mouelhi,Yves Le Traon;Conviviality-driven access control policy.;363-382;20;Volume 20, Number 4, November 2015;
2015;Eric Knauss,Daniela Damian,Jane Cleland-Huang,Remko Helms;Patterns of continuous requirements clarification.;383-403;21;Volume 20, Number 4, November 2015;
2015;Daniel Méndez Fernández,Birgit Penzenstadler;Artefact-based requirements engineering: the AMDiRE approach.;405-434;30;Volume 20, Number 4, November 2015;
2015;Andy Ridge,Eamonn O'Neill;Establishing requirements for End-user Service Composition tools.;435-463;29;Volume 20, Number 4, November 2015;
2015;Lassaad Ben Ammar,Abdelwaheb Trabelsi,Adel Mahfoudhi;Incorporating usability requirements into model transformation technologies.;465-479;15;Volume 20, Number 4, November 2015;
2014;William Brace,Kalevi Ekman;CORAMOD: a checklist-oriented model-based requirements analysis approach.;1-26;26;Volume 19, Number 1, March 2014;
2014;Michal Dahan,Peretz Shoval,Arnon Sturm;Comparing the impact of the OO-DFD and the Use Case methods for modeling functional requirements on comprehension and quality of models: a controlled experiment.;27-43;17;Volume 19, Number 1, March 2014;
2014;Polinpapilinho F. Katina,Charles B. Keating,Ra'ed M. Jaradat;System requirements engineering in complex situations.;45-62;18;Volume 19, Number 1, March 2014;
2014;Palash Bera,Joerg Evermann;Guidelines for using UML association classes and their effect on domain understanding in requirements engineering.;63-80;18;Volume 19, Number 1, March 2014;
2014;Ehsan Gooraki,Ali Naghi Mosleh Shirazi;Defining qualitative assessing parameters of Iran banks website.;81-87;7;Volume 19, Number 1, March 2014;
2014;JungWon Byun,SungYul Rhew,ManSoo Hwang,Vijayan Sugumaran,Sooyong Park,Soojin Park;Metrics for measuring the consistencies of requirements with objectives and constraints.;89-104;16;Volume 19, Number 1, March 2014;
2014;JungWon Byun,SungYul Rhew,ManSoo Hwang,Vijayan Sugumaran,Sooyong Park,Soojin Park;Erratum to: Metrics for measuring the consistencies of requirements with objectives and constraints.;105;1;Volume 19, Number 1, March 2014;
2014;Michael Jackson;Topsy-turvy requirements.;107-111;5;Volume 19, Number 1, March 2014;
2014;Andreas Lanz,Barbara Weber,Manfred Reichert;Time patterns for process-aware information systems.;113-141;29;Volume 19, Number 2, June 2014;
