2016;Matthew B. Dwyer,David S. Rosenblum;Editorial: Journal-First Publication for the Software Engineering Community.;1;1;Volume 42, Number 1, January 2016;
2016;Marco Autili,Antonia Bertolino,Guglielmo De Angelis,Davide Di Ruscio,Alessio Di Sandro;A Tool-Supported Methodology for Validation and Refinement of Early-Stage Domain Models.;2-25;24;Volume 42, Number 1, January 2016;
2016;Burcu Ozcelik,Cemal Yilmaz;Seer: A Lightweight Online Failure Prediction Approach.;26-46;21;Volume 42, Number 1, January 2016;
2016;Krzysztof Wnuk,Tony Gorschek,David Callele,Even-André Karlsson,Eskil Ahlin,Björn Regnell;Supporting Scope Tracking and Visualization for Very Large-Scale Requirements Engineering-Utilizing FSC+, Decision Patterns, and Atomic Decision Visualizations.;47-74;28;Volume 42, Number 1, January 2016;
2016;Antonio Filieri,Giordano Tamburrelli,Carlo Ghezzi;Supporting Self-Adaptation via Quantitative Verification and Sensitivity Analysis at Run Time.;75-99;25;Volume 42, Number 1, January 2016;
2016;Paul W. McBurney,Collin McMillan;Automatic Source Code Summarization of Context for Java Methods.;103-119;17;Volume 42, Number 2, February 2016;
2016;Sira Vegas,Cecilia Apa,Natalia Juristo Juzgado;Crossover Designs in Software Engineering Experiments: Benefits and Perils.;120-135;16;Volume 42, Number 2, February 2016;
2016;Mauro Caporuscio,Vincenzo Grassi,Moreno Marzolla,Raffaela Mirandola;GoPrime: A Fully Decentralized Middleware for Utility-Aware Service Assembly.;136-152;17;Volume 42, Number 2, February 2016;
2016;Marco Paolieri,András Horváth,Enrico Vicario;Probabilistic Model Checking of Regenerative Concurrent Systems.;153-169;17;Volume 42, Number 2, February 2016;
2016;Zebao Gao,Zhenyu Chen,Yunxiao Zou,Atif M. Memon;SITAR: GUI Test Script Repair.;170-186;17;Volume 42, Number 2, February 2016;
2016;Jing Qiu,Xiaohong Su,Peijun Ma;Using Reduced Execution Flow Graph to Identify Library Functions in Binary Code.;187-202;16;Volume 42, Number 2, February 2016;
2016;Zhiquan Zhou,Shaowen Xiang,Tsong Yueh Chen;Metamorphic Testing for Software Quality Assessment: A Study of Search Engines.;260-280;21;Volume 42, Number 3, March 2016;
2016;Mehdi Mirakhorli,Jane Cleland-Huang;Detecting, Tracing, and Monitoring Architectural Tactics in Code.;205-220;16;Volume 42, Number 3, March 2016;
2016;Qingkai Shi,Jeff Huang 0001,Zhenyu Chen,Baowen Xu;Verifying Synchronization for Atomicity Violation Fixing.;280-296;17;Volume 42, Number 3, March 2016;
2016;Matthew B. Dwyer,Eric Bodden,Brian Fitzgerald,Miryung Kim,Sunghun Kim 0001,Andrew J. Ko,Emilia Mendes,Raffaela Mirandola,Ana Moreira,Forrest Shull,Stephen F. Siegel,Tao Xie,Charles Zhang;Connecting and Serving the Software Engineering Community.;203-280;78;Volume 42, Number 3, March 2016;
2016;Rick Kazman,Dennis Goldenson,Ira Monarch,William Nichols,Giuseppe Valetto;Evaluating the Effects of Architectural Documentation: A Case Study of a Large Scale Open Source Project.;220-260;41;Volume 42, Number 3, March 2016;
2016;Niklas Mellegård,Adry Ferwerda,Kenneth Lind,Rogardt Heldal,Michel R. V. Chaudron;Impact of Introducing Domain-Specific Modelling in Software Maintenance: An Industrial Case Study.;245-260;16;Volume 42, Number 3, March 2016;
2016;Jonathan L. Krein,Lutz Prechelt,Natalia Juristo,Aziz Nanthaamornphong,Jeffrey C. Carver,Sira Vegas,Charles D. Knutson,Kevin D. Seppi,Dennis L. Eggett;A Multi-Site Joint Replication of a Design Patterns Experiment Using Moderator Variables to Generalize across Contexts.;302-321;20;Volume 42, Number 4, April 2016;
2016;Hector Miguel Chavez,Wuwei Shen,Robert B. France,Benjamin A. Mechling,Guangyuan Li;An Approach to Checking Consistency between UML Class Model and Its Java Implementation.;322-344;23;Volume 42, Number 4, April 2016;
2016;Marcel Böhme,Soumya Paul;A Probabilistic Analysis of the Efficiency of Automated Software Testing.;345-360;16;Volume 42, Number 4, April 2016;
2016;Ali Shahbazi,James Miller;Black-Box String Test Case Generation through a Multi-Objective Optimization.;361-378;18;Volume 42, Number 4, April 2016;
2016;Xin Ye,Razvan C. Bunescu,Chang Liu;Mapping Bug Reports to Relevant Files: A Ranking Model, a Fine-Grained Benchmark, and Feature Evaluation.;379-402;24;Volume 42, Number 4, April 2016;
2016;Mauro Baluda,Giovanni Denaro,Mauro Pezzè;Bidirectional Symbolic Analysis for Effective Branch Testing.;403-426;24;Volume 42, Number 5, May 2016;
