Benoit Baudry; INRIA
Nelly Bencomo; Aston University Birmingham
Christian Bird; Microsoft Research
Yuriy Brun; University of Massachusetts; Amherst
Tevfik Bultan; University of California at Santa Barbara
Jordi Cabot; École des Mines de Nantes / Inria
Yuanfang Cai; Drexel University
Radu Calinescu; University of York
Michel Chaudron; Chalmers University of Gothenburg & Gothenburg University
Jane Cleland-Huang; DePaul University
Myra Cohen; University of Nebraska-Lincoln
Vittorio Cortellessa; DISIM University of L'Aquila
Elisabetta Di Nitto; DEIB Politecnico di Milano
Massimiliano Di Penta; Department of Engineering; University of Sannio
Danny Dig; Oregon State University
Schahram Dustdar; Vienna University of Technology
Bernd Fischer; University of Stellenbosch
Robert France; Colorado State University
Gordon Fraser; University of Sheffield
Diego Garbervetsky; Universidad de Buenos Aires
Michael Goedicke; Paluno
Lars Grunske; University of Stuttgart
Arie Gurfinkel; Carnegie Mellon Software Engineering Institute
Robert Hall; AT&T Labs Research
Reiko Heckel; Department of Computer Science University of Leicester
Mats Heimdahl; University of Minnesota
John G. Hosking; University of Auckland & Australian National University
Christian Kaestner; Carnegie Mellon University
David Lo; School of Information Systems; Singapore Management University
Shahar Maoz; Tel Aviv University
Henry Muccini; University of L'Aquila
Shiva Nejati; University of Luxembourg
Tien N. Nguyen; Iowa State University
Jocelyn Simmonds; Universidad Tecnica Federico Santa Maria
Tetsuo Tamai; Hosei University
Lin Tan; University of Waterloo
Daniel Varro; Budapest University of Technology and Economics
Michael Whalen; University of Minnesota
Andreas Zeller; Saarland University
