Perry Alexander; University of Kansas (USA)
Andrew Begel ; Microsoft Research (USA)
Christian Bird; Microsoft Research (USA)
Yuriy Brun; University of Massachusetts; Amherst (USA)
Ray Buse; Google (USA)
Radu Calinescu; University of York (UK)
Marsha Chechik; University of Toronto (Canada)
Vittorio Cortellessa; University of L'Aquila (Italy)
Massimiliano Di Penta; University of Sannio (Italy)
Danny Dig; Oregon State University (USA)
Antonio Filieri; University of Stuttgart (Germany)
Bernd Fischer; University of Stellenbosch (South Africa)
Gordon Fraser; University of Sheffield (UK)
Michael Goedicke; Paluno (Germany)
Arie Gurfinkel; Carnegie Mellon Software Engineering Institute (USA)
Robert Hall; AT&T Labs Research (USA)
Reiko Heckel; Department of Computer Science University of Leicester (UK)
Mats Heimdahl; University of Minnesota (USA)
Yue Jia; University College London (UK)
Christian Kästner; Carnegie Mellon University (USA)
Sarfraz Khurshid; University of Texas at Austin (USA)
Anne Koziolek; Karlsruhe Institute of Technology (Germany)
Julia Lawall; INRIA (France)
Claire Le Goues; Carnegie Mellon University (USA)
David Lo; School of Information Systems Singapore Management University (Singapore)
Shahar Maoz; Tel Aviv University (Israel)
Darko Marinov; University of Illinois at Urbana-Champaign (USA)
Tim Menzies; North Carolina State University (USA)
Henry Muccini; University of L'Aquila (Italy)
Tien N. Nguyen; Iowa State University (USA)
Corina Pasareanu; CMU; NASA Ames (USA)
Patrizio Pelliccione; Chalmers University (Sweden)
Grigore Rosu; University of Illinois at Urbana-Champaign (USA)
Anita Sarma; Oregon State University (USA)
Johann Schumann; NASA Ames (USA)
Tetsuo Tamai; Hosei University (Japan)
Lin Tan; University of Waterloo (Canada)
