Sven Apel; University of Passau; Germany
Don Batory; University of Texas at Austin; United States
Thorsten Berger; University of Gothenburg and Chalmers University of Technology; Sweden
Dirk Beyer; University of Passau; Germany
Eric Bodden; Universität Paderborn & Fraunhofer IEM; Germany
Vittorio Cortellessa; University of L'Aquila; Italy
Marcelo d'Amorim; Federal University of Pernambuco; Brazil
Elisabetta Di Nitto; Politecnico Milano; Italy
Massimiliano Di Penta; University of Sannio; Italy
Antonio Filieri; Imperial College London; United Kingdom
Bernd Fischer; Stellenbosch University; South Africa
Gordon Fraser; University of Sheffield; United Kingdom
Marcelo Frias; Buenos Aires Institute of Technology; Argentina
Michael Goedicke; Paluno; University of Duisburg-Essen; Germany
Lars Grunske; Humboldt University Berlin; Germany
Paul Grünbacher; Johannes Kepler University Linz; Austria
Christian Hammer; Saarland University; Germany
John Hosking; University of Auckland; New Zealand
Sarfraz Khurshid,; PC Co-Chair; University of Texas at Austin; United States
Yang Liu; Nanyang Technological University; Singapore
Malte Lochau; TU Darmstadt; Germany
Darko Marinov; University of Illinois at Urbana-Champaign; United States
Tim Menzies; North Carolina State University; United States
Tien Nguyen; Iowa State University; United States
Alessandro Orso; Georgia Institute of Technology; United States
Ana Paiva; University of Porto; Portugal
Chris Parnin; North Carolina State University; United States
Martin Pinzger; University of Klagenfurt; Austria
Mukul Prasad; Fujitsu Labs of America; United States
Grigore Rosu; University of Illinois at Urbana-Champaign; United States
Julia Rubin; MIT; United States
Neha Rungta; SGT; Inc. & NASA Ames; United States
Norbert Siegmund; University of Passau; Germany
Gabriele Taentzer; University of Marburg; Germany
Andrzej Wasowski; IT University Copenhagen; Denmark
Michael Whalen; University of Minnesota; United States
Lingming Zhang; University of Texas at Dallas; United States
Thomas Zimmermann; Microsoft Research; United States
Mithun P. Acharya; ABB; United States
Étienne André; Université Paris 13; France
Cyrille Valentin Artho; AIST; Japan
Yuanfang Cai,; Chair; Drexel University; United States
Marsha Chechik; University of Toronto; Canada
Chia Yuan Cho; DSO National Laboratories; Singapore
Robert Dyer; Bowling Green State University; United States
Davide Falessi; Cal Poly; United States
Colin S. Gordon; Drexel University; United States
Jeff Gray; University of Alabama; United States
Ralf Huuck; NICTA; Australia
Clemente	Izurieta; Montana State University; United States
Peng Liang; Wuhan University; China
Yang Liu,; Chair; Nanyang Technological University; Singapore
Mehdi Mirakhorli; Rochester Institute of Technology; United States
Juergen Muench; University of Helsinki; Finland
Xin Peng; Fudan University; China
Will	Snipes; ABB; Inc.; United States
Yingfei Xiong; Peking University; China
Yang Ye; Stevens Institute of Technology; United States
Charles Zhang; The Hong Kong University of Science and Technology; Hong Kong
Mithun P. Acharya; ABB; United States
Étienne André; Université Paris 13; France
Cyrille Valentin Artho; AIST; Japan
Yuanfang Cai,; Chair; Drexel University; United States
Marsha Chechik; University of Toronto; Canada
Chia Yuan Cho; DSO National Laboratories; Singapore
Robert Dyer; Bowling Green State University; United States
Davide Falessi; Cal Poly; United States
Colin S. Gordon; Drexel University; United States
Jeff Gray; University of Alabama; United States
Ralf Huuck; NICTA; Australia
Clemente	Izurieta; Montana State University; United States
Peng Liang; Wuhan University; China
Yang Liu,; Chair; Nanyang Technological University; Singapore
Mehdi Mirakhorli; Rochester Institute of Technology; United States
Juergen Muench; University of Helsinki; Finland
Xin Peng; Fudan University; China
Will	Snipes; ABB; Inc.; United States
Yingfei Xiong; Peking University; China
Yang Ye; Stevens Institute of Technology; United States
Charles Zhang; The Hong Kong University of Science and Technology; Hong Kong
Nazareno Aguirre; University of Rio Cuarto; Argentina
Benoit Baudry; INRIA Rennes; France
Paulo Borba; Federal University of Pernambuco; Brazil
Cristian Cadar; Imperial College London; United Kingdom
Yuanfang Cai; Drexel University; United States
Marsha Chechik; University of Toronto; Canada
Myra Cohen; University of Nebraska; Lincoln; United States
Ivica Crnkovic; Chalmers University; Sweden
Sebastian Erdweg; TU Darmstadt; Germany
Harald Gall; University of Zurich; Switzerland
Milos Gligoric; University of Texas at Austin; United States
John Grundy; Swinburne University of Technology; Australia
Jianmei Guo; East China University of Science and Technology; China
Robert Hall; AT/&T Labs Research	(United States
Mark Harman; University College London; United Kingdom
James Herbsleb; Carnegie Mellon University; United States
Christine Julien; University of Texas at Austin; United States
Christian Kästner; Carnegie Mellon University; United States
Anne Koziolek; Karlsruhe Institute of Technology; Germany
Julia Lawall; INRIA; France
Wei Le; Iowa State University; United States
Axel Legay; INRIA; France
Walid Maalej; University of Hamburg; Germany
Shahar Maoz; Tel Aviv University; Israel
Shiva Nejati; University of Luxembourg; Luxembourg
Corina Pasareanu; CMU; NASA Ames; United States
Baishakhi Ray; University of Virginia; United States
Márcio Ribeiro; Federal University of Alagoas; Brazil
Junaid Haroon Siddiqui; LUMS School of Science and Engineering; Pakistan
Janet Siegmund; University of Passau; Germany
Stefan Sobernig; Vienna University of Economics and Business; Austria
Vladimir Stankovic; City University London; United Kingdom
Friedrich Steimann; Fernuniversität in Hagen; Germany
Mana Taghdiri; Promatis GmbH; Germany
Damian Andrew Tamburri; Politecnico di Milano; Italy
Oksana Tkachuk; SGT; Inc. & NASA Ames; United States
Daniel Varro; Budapest University of Technology and Economics; Hungary
Willem Visser; Stellenbosch University; South Africa
Stefan Wagner; University of Stuttgart; Germany
Tao Xie; University of Illinois at Urbana-Champaign; United States
Guowei Yang; Texas State University; United States
Andy Zaidman; Delft University of Technology; Netherlands
Lu Zhang; Peking University; China
