Andrew Begel; Microsoft Research
Myra Cohen; University of Nebraska - Lincoln
Danny Dig; University of Illinois at Urbana-Champaign
Bernd Fische; Stellenbosch University / University of Southampton
Gordon Fraser; University of Sheffield
Harald Gall; University of Zurich
Dimitra Giannakopoulou; NASA Ames Research Ctr
Alex Groce; Oregon State University
Paul Grünbacher; Johannes Kepler University Linz
Arie Gurfinkel; Software Engineering Institute / Carnegie Mellon University
William G.J. Halfond; University of Southern California
Mark Harman; University College London
Sunghun Kim; The Hong Kong University of Science and Technology
David Lo; Singapore Management University
Shahar Maoz; Tel Aviv University
Darko Marinov; University of Illinois at Urbana-Champaign
Tim Menzies; West Virginia University
Mira Mezini; Technische Universität Darmstadt
Tien Nguyen; Iowa State University
Corina Pasareanu; CMU / NASA Ames
Lori Pollock; University of Delaware
Martin Robillard; McGill University
Grigore Rosu; University of Illinois at Urbana-Champaign
Abhik Roychoudhury; National University of Singapore
Gabriele Taentzer; Philipps-Universitaet Marburg
Nikolai Tillmann; Microsoft Research
Sebastian Uchitel; Universidad de Buenos Aires and Imperial College London
Willem Visser; Stellenbosch University
Lu Zhang; Peking University
Charles Zhang; Hongkong University of Science and Technology
