Giuliano Antoniol ; Ecole Polytechnique de Montréal; Canada
Árpád Beszédes ; University of Szeged; Hungary
Xavier Blanc ; Bordeaux 1 University; France
Gerardo Canfora ; University of Sannio; Italy
Rafael Capilla ; Universidad Rey Juan Carlos; Spain
Walter Cazzola ; University of Milano; Italy
Alexander Chatzigeorgiou ; University of Macedonia; Greece
Andrea De Lucia ; University of Salerno; Italy
Florian Deissenboeck ; Technische Universitaet Muenchen; Germany
Serge Demeyer ; University of Antwerp; Belgium
Massimiliano Di Penta ; University of Sannio; Italy
Damiano Distante ; Unitelma Sapienza University; Italy
Laurence Duchien ; University Lille 1; France
Juan C. Dueñas ; Universidad Politécnica de Madrid; Spain
Jürgen Ebert ; University of Koblenz_Landau; Germany
Rudolf Ferenc ; University of Szeged; Hungary
Thomas Fritz ; University of Zurich; Switzerland
Dharmalingam Ganesan ; Fraunhofer CESE; USA
Jesus M. Gonzalez;Barahona ; Universidad Rey Juan Carlos; Spain
Tibor Gyimothy ; University of Szeged; Hungary
Mark Harman ; University College London; UK
Wilhelm Hasselbring ; Univ. Kiel; Germany
Marianne Huchard ; University Montpellier 2; France
Toshihiro Kamiya ; Future University Hakodate; Japan
Mira Kajko;Mattsson ; Stockholm University; Sweden
Holger Kienle ; Mälardalen University; Sweden
Foutse Khomh ; Queen's University; Canada
Jens Knodel ; Fraunhofer IESE; Germany
Rainer Koschke ; University of Bremen; Germany
Jens Krinke ; University College London; UK
Ralf Laemmel ; Universität Koblenz_Landau; Germany
Michele Lanza ; University of Lugano; Switzerland
Grace Lewis ; CMU Software Engineering Institute; USA
Mircea Lungu ; University of Berne; Switzerland
Alessandro Marchetto ; Fondazione Bruno Kessler IRST; Italy
Andrian Marcus ; Wayne State University; USA
Radu Marinescu ; Politehnica University of Timisoara; Romania
Tom Mens ; University of Mons; Belgium
Leon Moonen ; Simula Research Laboratory; Norway
Hausi Müller ; University of Victoria; Canada
Denys Poshyvanyk ; College of William and Mary; USA
Romain Robbes ; University of Lugano; Switzerland
Giuseppe Scanniello ; University of Basilicata; Italy
Klaus Schmid ; University of Hildesheim; Germany
Harry Sneed ; ANECON GmbH; Austria
Diomidis Spinellis ; Athens University of Economics and Business; Greece
Dalila Tamzalit ; University of Nantes; France
Scott Tilley ; Florida Institute of Technology; USA
Christos Tjortjis ; The University of Manchester; UK
Paolo Tonella ; Fondazione Bruno Kessler IRST; Italy
Mircea Trifu ; FZI Forschungszentrum Informatik; Germany
Nikolaos Tsantalis ; Concordia University; Canada
Mark Van Den Brand ; TU/e; Netherlands
Ragnhild Van Der Straeten ; Vrije Universiteit Brussel; Belgium
László Vidács ; University of Szeged; Hungarian Academy of Sciences; Hungary
Joost Visser ; Software Improvement Group; Netherlands
Andreas Winter ; Carl von Ossietzky University; Germany
Yijun Yu ; The Open University; UK
Andy Zaidman ; Technische Universiteit Delft; Netherlands
Hongyu Zhang ; Tsinghua University; China
Jianjun Zhao ; Shanghai Jiao Tong University; China
