Silvia Abrahao; Universidad Politcnica de Valencia; Spain
Anneliese Amschler Andrews; University of Denver; USA
Michael Berry; EBSE Australia; Australia
Luigi Buglione; Atos Origin; Italy
Gerardo Canfora; University of Sannio; Italy
Giovanni Cantone; University of Rome Tor Vergata; Italy
David Card; Q-Labs; USA
Jeff Carver; Mississippi State University; USA
Marcus Ciolkowski; University of Kaiserslautern; Germany
Reidar Conradi; Norwegian University of Science and Technology; Norway
Tore Dyba; Sintef; Norway
Christof Ebert; Alcatel; France
Khaled El Emam; University of Ottawa; Canada
Sebastian Elbaum; University of Nebraska; USA
Marcela Genero; University of Castilla La Mancha; Spain
Robert Glass; Griffith University; USA
Sally Godfrey; NASA/Goddard Space Flight Center; USA
Dennis Goldenson; Software Engineering Institute; USA
Tracy Hall; University of Hertfordshire; UK
Martin Host; Lund University; Sweden
Frank Houdek; Daimlerchrysler; Germany
Ross Jeffery; University of New South Wales; Australia
Philip Johnson; University of Hawaii; USA
Magne Jorgensen; Simula Research Laboratory; Norway
Barbara Kitchenham; Keele University; UK
Jyrki Kontio; Helsinki University of Technology; Finland
Shinji Kusumoto; Osaka University; Japan
Filippo Lanubile; University of Bari; Italy
Christopher Lott; Telcordia Technologies; USA
Jose Carlos Maldonado; Universidade de Sao Paulo; Brazil
Kenichi Matsumoto; Nara Institute of Science and Technology; Japan
Walcelio Melo; Unisys & George Mason University; USA
Emilia Mendes; University of Auckland; New Zealand
Manoel Mendonca; Salvador University, UNIFACS; Brazil
James Miller; University of Alberta; Canada
Audris Mockus; Avaya Labs Research; USA
Sandro Morasca; University degli Studi dell'Insubria; Italy
Ana Moreno; Universidad Politecnica de Madrid; Spain
Maurizio Morisio; Politecnico di Torino; Italy
Jurgen Munch; Fraunhofer IESE; Germany
Markku Oivo; University of Oulu; Finland
Linda Ott; Michigan Technical University; USA
Mario Piattini; University of Castilla La Mancha; Spain
Daniel Port; University of Hawaii; USA
Adam Porter; University of Maryland; USA
Stan Rifkin; Master Systems; USA
Marc Roper; University of Strathclyde; UK
Gunther Ruhe; University of Calgary; Canada
Per Runeson; Lund University; Sweden
Rick Selby; Northrop Grumman; USA
Martin Shepperd; Brunel University; UK
Forrest Shull; Fraunhofer Center, Maryland; USA
Janice Singer; National Research Council; Canada
Harvey Siy; University of Nebraska; USA
Dag Sjoberg; Simula Research Lababoratory; Norway
Giancarlo Succi; Free University of Bozen-Bolzano; Italy
Shingo Takada; Keio University; Japan
June Verner; NICTA; Australia
Giuseppe Visaggio; University of Bari; Italy
Jeff Voas; SAIC; USA
Larry Votta; Sun Microsystems; USA
Laurie Williams; North Carolina State University; USA
Claes Wohlin; Blekinge Institute of Technology; Sweden
Bernard Wong; University of Technology, Sydney; Australia
Marvin Zelkowitz; University of Maryland; USA
