Guilherme Travassos; COPPE/UFRJ
Oscar Pastor; Universidad Politecnica de Valencia
Alessandro Garcia; Pontifical Catholic University of Rio de Janeiro; Brazil
Andreas Jedlitschka; Fraunhofer IESE; Germany
Anneliese Andrews; University of Denver; USA
Arilo Claudio Dias-Neto; Federal University of Amazonas; Brazil
Audris Mockus; Avaya Labs Research; USA
Ayse Bener; Ryerson University; Canada
Beatriz Marín; Universidad Diego Portales; Chile
Brian Robinson; ABB Inc.; US Corporate Research
Chris Lokan; University of New South Wales; Australia
Christof Ebert; Vector Consulting Services GmbH; Germany
Claes Wohlin; Blekinge Institute of Technology; Sweden
Clemente Izurieta; Montana State University; USA
Dag Sjoberg; University of Oslo; Norway
Daniela S. Cruzes; Norwegian University of Science and Technology; Norway
Davide Falessi; Fraunhofer Center - Maryland; USA
Des Greer; Queens University Belfast; Ireland
Dietmar Pfahl; University of Tartu; Estonia
Elaine Weyuker; Independent Researcher; USA
Emilia Mendes; Blekinge Institute of Technology; Sweden
Fabio Q. B. Da Silva; Federal University of Pernambuco; Brazil
Filippo Lanubile; University of Bari; Italy
Gabriela Robiolo; Universidad Austral; Argentina
Giovanni Cantone; University of Rome Tor Vergata; Italy
Guenther Ruhe; University of Calgary; Canada
Hakam Erdogmus; Kalemun Research Inc.; Canada
He Zhang; NICTA/University of New South Wales; Australia
James Miller; University of Alberta; Canada
Jeffrey Carver; University of Alabama; USA
Juergen Muench; University of Helsinki; Finland
Kenichi Matsumoto; Nara Institute of Science and Technology; Japan
Laurie Williams; North Carolina State University; USA
Lorin Hochstein; Nimbis Services Inc.; USA
Lutz Prechelt; Freie Universitaet Berlin; Germany
Manoel Mendonça; Federal University of Bahia; Brazil
Marc Roper; University of Strathclyde; Scotland
Marcela Genero; University of Castilla-La Mancha; Spain
Marco Torchiano; Politecnico di Torino; Italy
Marcus Ciolkowski; QAware GmbH; Germany
Maria Teresa Baldassarre; University of Bari; Italy
Mark Harman; University College London; UK
Markku Oivo; University of Oulu; Finland
Martin Höst; Lund University; Sweden
Martin Shepperd; Brunel University; UK
Martin Solari; Universidad ORT; Uruguay
Marvin Zelkowitz; University of Maryland/College Park; USA
Matt Staats; University of Luxembourg; Luxembourg
Maya Daneva; University of Twente; Netherlands
Muhammad Ali Babar; IT University of Copenhagen; Denmark
Nachiappan Nagappan; Microsoft Corporation; USA
Natalia Juristo; Universidad Politécnica de Madrid; Spain
Nelly Condori-Fernández; University of Twente; Netherlands
Oscar Dieste; Universidad Politecnica de Madrid; Spain
Paul Gruenbacher; Johannes Kepler University Linz; Austria
Pearl Brereton; Keele University; UK
Per Runeson; Lund University; Sweden
Rafael Prikladnicki; Pontifical Catholic University of Rio Grande do Sul; Brazil
Rahul Premraj; VU University; Netherlands
Roel Wieringa; University of Twente; Netherlands
Ross Jeffery; NICTA/The University of New South Wales; Australia
Sandro Morasca; Università degli Studi dell'Insubria; Italy
Sebastian Elbaum; University of Nebraska - Lincoln; USA
Sergio Soares; Federal University of Pernambuco; Brazil
Shuji Morisaki; Shizuoka University; Japan
Silvia Abrahao; Universidad Politecnica de Valencia; Spain
Sira Vegas; Universidad Politecnica de Madrid; Spain
Stefan Biffl; Technische Universität Wien; Austria
Stefan Wagner; University of Stuttgart; Germany
Stephen MacDonell; AUT University; New Zealand
Tayana Conte; Federal University of Amazonas; Brazil
Thomas Zimmermann; Microsoft Research; USA
Tim Menzies; West Virginia University; USA
Tomi Männistö; Aalto University; Finland
Tore Dybå; SINTEF and University of Oslo; Norway
Tracy Hall; Brunel University; UK
Yoshiki Mitani; Nara Institute of Science and Technology; Japan
Yuanfang Cai; Drexel University; USA
