Tore Dybå; SINTEF; Norway
Marco Torchiano; Politecnico di Torino; Italy
Silvia Abrahao; Universitat Politecnica de Valencia; Spain
Bente Anda; University of Oslo; Norway
Anneliese Andrews; University of Denver; USA
Claudia P. Ayala; Technical University of Catalunya; Spain
Muhammad Ali Babar; IT University of Copenhagen; Denmark
Maria Teresa Baldassarre; Università di Bari; Italy
Vic Basili University of Maryland; USA
Andrew Begel; Microsoft Research; USA
Ayse Bener; Ryerson University; Canada
Stefan Biffl; TU Wien; Austria
Pearl Brereton; Keele University; United Kingdom
Lionel Briand; University of Luxembourg; Luxembourg
David Budgen; Durham University; United Kingdom
Danilo Caivano; Università di Bari; Italy
Luiz Fernando Capretz; Western University; Canada
Jeffrey Carver; University of Alabama; USA
Michel Chaudron; Chalmers & Gothenborg University; Sweden
Marcus Ciolkowski; QAware GmbH; Germany
Nelly Condori-Fernández; University of Twente; Netherlands
Tayana Conte; UFAM; Brazil
Daniela Cruzes; SINTEF; Norway
Fabio Q. B. Da Silva; Federal University of Pernambuco; Brazil
Maya Daneva; University of Twente; Netherlands
Oscar Dieste; Universidad Politecnica de Madrid; Spain
Torgeir Dingsøyr; SINTEF; Norway
Christof Ebert; Vector Consulting Services; Germany
Sebastian Elbaum; University on Nebraska-Lincoln; USA
Hakan Erdogmus; Carnegie Mellon University; USA
Paolo Falcarin; University of East London; UK
Davide Falessi; Fraunhofer CESE; USA
Xavier Franch; Universitat Politècnica de Catalunya; Spain
Alessandro Garcia; Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio); Brazil
Marcela Genero; University of Castilla-La Mancha; Spain
Tracy Hall; Brunel University; United Kingdom
Mark Harman; University college London; United Kingdom
Lorin Hochstein; SendGrid Labs; USA
Martin Höst; Lund University; Sweden
Clemente Izurieta Montana State University; USA
Andreas Jedlitschka; Fraunhofer Institute for Experimental Software Engineering; Germany
Ross Jeffery; UNSW & NICTA; Australia
Magne Jorgensen; Simula Research Laboratory; Norway
Natalia Juristo; Universidad Politécnica de Madrid; Spain
Michael Klaes,	Fraunhofer IESE; Germany
Charles Knutson; Brigham Young University; USA
Filippo Lanubile; Università di Bari; Italy
Casper Lassenius; Aalto University; Finland
Chris Lokan; University of New South Wales @ ADFA; Australia
Stephen MacDonell; University of Otago; New Zealand
Emilia Mendes; The University of Auckland; New Zealand
Manoel Mendonça; UFBA; Brazil
James Miller; University of Alberta; Canada
Audris Mockus; Avaya Labs Research; USA
Nils Brede Moe; SINTEF; Norway
Sandro Morasca; Università degli Studi dell'Insubria; Italy
Ana Moreno; Universidad Politecnica de Madrid; Spain
Shuji Morisaki; Nagoya University; Japan
Juergen Muench; University of Helsinki; Finland
Tomi Männistö; University of Helsinki; Finland
Mika Mäntylä; Helsinki University of Technology; Finland
Markku Oivo; University of Oulu; Finland
Carol Passos; SOLUTIS Tecnologias; Brazil
Oscar Pastor Lopez; Universidad Politécnica de Valencia; Spain
Dietmar Pfahl; University of Tartu; Estonia
Lutz Prechelt; Freie Universitaet Berlin; Germany
Austen Rainer; University of Hertfordshire; United Kingdom
Filippo Ricca; DIBRIS - Università di Genova; Italy
Brian Robinson; ABB Inc. US Corporate Research; USA
Marc Roper; University of Strathclyde; United Kingdom
Guenther Ruhe; University of Calgary; Canada
Per Runeson; Lund University; Sweden
Riccardo Scandariato; KU Leuven; Belgium
Giuseppe Scanniello; Università degli Studi della Basilicata; Italy
Carolyn Seaman; UMBC; USA
Martin Shepperd; Brunel University; United Kingdom
Forrest Shull; Software Engineering Institute; USA
Dag Sjoberg; University of Oslo; Norway
Darja Smite; Blekinge Institute of Technology; Sweden
Martin Solari; Universidad ORT; Uruguay
Sira Vegas; Universidad Politecnica de Madrid; Spain
Antonio Vetrò; Technische Universität München; Germany
Stefan Wagner; University of Stuttgart; Germany
Roel Wieringa; University of Twente; Netherlands
Murray Wood; University of Strathclyde; United Kingdom
Yang Ye; Institute of Software Chinese Academy of Sciences; China
He Zhang; Nanjing University; China
Didar Zowghi; University of Technology; Sydney; Australia
