Bram Adams; MCIS; École Polytechnique de Montréal; Canada
Andrea Arcuri; Scienta; Norway; and University of Luxembourg; Luxembourg
Ayse Bener; Ryerson University; Canada
Ivan Beschastnikh; University of British Columbia; Canada
Stefan Biffl; TU Wien; Austria
Christian Bird; Microsoft Research; US
Pearl Brereton; Keele University; UK
David Budgen; Durham University; UK
Fabio Calefato; University of Bari; Italy
Jeffrey Carver; University of Alabama; US
Michel Chaudron; Chalmers & Gothenborg Uniersity; Sweden
Nelly Condori-Fernández; VU University of Amsterdam; Netherlands
Maya Daneva; University of Twente; Netherlands
Oscar Dieste; Universidad Politecnica de Madrid; Spain
Tore Dyba; SINTEF; Norway
Jonas Eckhardt; Technische Universitaet Muenchen; Germany
Hakan Erdogmus; Carnegie Mellon University Silicon Valley; US
Davide Falessi; Cal Poly; US
Robert Feldt; Blekinge Institute of Technology; Sweden
Xavier Franch; Universitat Politècnica de Catalunya; Spain
Mark Harman; University College London; UK
Rogardt Heldal; Chalmers University; Sweden
Martin Höst; Lund University; Sweden
Clemente Izurieta; Montana State University; US
Ross Jeffery; NICTA; Australia
Jacky Keung; City University of Hong Kong; China
Michael Klaes; Fraunhofer Institute for Experimental Software Engineering; Germany
Filippo Lanubile; University of Bari; Italy
Casper Lassenius; Aalto University; Finland
Tomi Männistö; University of Helsinki; Finland
Mika Mäntylä; University of Oulu; Finland
Emilia Mendes; Blekinge Institute of Technology; Sweden
Daniel Méndez Fernández; Technische Universität München; Germany
Tim Menzies; NC State University; US
Ali Mesbah; University of British Columbia; Canada
James Miller; University of Alberta; Canada
Audris Mockus; Avaya Labs Research; US
Sandro Morasca; Università degli Studi dell'Insubria; Italy
Maurizio Morisio; Politecnico di Torino; Italy
Juergen Muench; University of Helsinki; Finland
Nachiappan Nagappan; Microsoft Corporation; US
Markku Oivo; University of Oulu; Finland
Oscar Pastor Lopez; Polytechnic University of Valencia; Spain
Dietmar Pfahl; University of Tartu; Estonia
Rafael Prikladnicki; PUCRS; Brazil
Fabio QB Da Silva; Federal University of Pernambuco; Brazil
Austen Rainer; University of Canterbury; New Zealand
Pilar Rodríguez; University of Oulu; Finland
Marc Roper; University of Strathclyde; UK
Guenther Ruhe; Univ of Calgary; Canada
Per Runeson; Lund University; Sweden
Barbara Russo; Free University of Bolzano / Bozen; Italy
Daniela S. Cruzes; SINTEF; Norway
Mehrdad Sabetzadeh; University of Luxembourg; Luxembourg
Federica Sarro; University College London; UK
Kurt Schneider; Leibniz Universität Hannover; Germany
Martin Shepperd; Brunel University; UK
Darja Smite; Blekinge Institute of Technology; Sweden
Martin Solari; Universidad ORT Uruguay; Uruguay
Marco Torchiano; Politecnico di Torino; Italy
Richard Torkar; Chalmers and the University of Gothenburg; Sweden
Guilherme Travassos; COPPE / UFRJ; Brazil
Burak Turhan; University of Oulu; Finland
Sira Vegas; Universidad Politecnica de Madrid; Spain
Stefan Wagner; University of Stuttgart; Germany
Gursimran Walia; North Dakota State University; US
Song Wang; University of Waterloo; Canada
Jon Whittle; Lancaster University; UK
Dietmar Winkler; Vienna University of Technology; Austria
Claes Wohlin; Blekinge Institute of Technology; Sweden
He Zhang; Nanjing University; China
Hongyu Zhang; Microsoft Research; US
Wen Zhang; Beijing University of Chemical Technology; China
