Perdita Stevens; University of Edinburgh; UK
Andrzej Wasowski; IT University of Copenhagen; Denmark
Sagar Chaki; Carnegie Mellon University; USA
Nancy Day; University of Waterloo; Canada
Ewen Denney; NASA Ames; USA
Juergen Dingel; Queen's University; Canada
Stéphane Ducasse; INRIA Lille - Nord Europe; France
Alexander Egyed; Johannes Kepler Universität Linz; Austria
Bernd Fischer; Stellenbosch University; South Africa
Milos Gligoric; University of Illinois at Urbana-Champaign; USA
Stefania Gnesi; ISTI-CNR; Italy
Marieke Huisman; Universiteit Twente; The Netherlands
Valérie Issarny; INRIA Paris - Rocquencourt; France
Marta Kwiatkowska; University of Oxford; UK
Barbara König; Universität Duisburg-Essen; Germany
Martin Leucker; Universität Lübeck; Germany
Axel Legay; INRIA Rennes; France
Fabrizio Pastore; Université de Luxembourg; Luxembourg
Julia Rubin; Massachusetts Institute of Technology; USA
Bernhard Rumpe; RWTH Aachen; Germany
Ina Schaefer; Technische Universität Braunschweig; Germany
Mariëlle Stoelinga; Universiteit Twente; Netherlands
Gabriele Taentzer; Philipps-Universität Marburg; Germany
Mohammad Torabi Dashti; ETH Zürich; Switzerland
Martin Wirsing; Ludwig-Maximiilians-Universität München; Germany
Yingfei Xiong; Peking University; China
