Luciano Baresi; Politecnico di Milano; Italy
Victor Braberman; Universidad de Buenos Aires; Argentina
Tevfik Bultan; University of California; Santa Barbara; USA
Antonio Carzaniga; University of Lugano; Switzerland
Wing-Kwong Chan; City University of Hong Kong; Hong Kong
Satish Chandra; Samsung Electronics; USA
Jane Cleland-Huang; DePaul University; USA
Prem Devanbu; University of California; Davis; USA
Massimiliano Di Penta; University of Sannio; Italy
Matt Dwyer; University of Nebraska - Lincoln; USA
Alessandro Garcia; Pontifical Catholic University of Rio de Janeiro; Brasil
Mark Harman; University College London; UK
James Herbsleb; Carnegie Mellon University; USA
Valerie Issarny; Inria; France
James Jones; University of California; Irvine; USA
Sarfraz Khurshid; University of Texas at Austin; USA
Miryung Kim; The University of Texas at Austin; USA
Rainer Koschke; University of Bremen; Germany
Leonardo Mariani; University of Milano Bicocca; Italy
Nenad Medvidovic; University of Southern California; USA
Aditya Nori; Microsoft Research; India
Martin Robillard; McGill University; Canada
Grigore Rosu; University of Illinois at Urbana-Champaign; USA
Yannis Smaragdakis; University of Athens; Greece
Paolo Tonella; Fondazione Bruno Kessler; Italy
Sebastian Uchitel; Universidad de Buenos Aires; Argentina and Imperial College London; UK
Arie van Deursen; Delft University of Technology; The Netherlands
Willem Visser; Stellenbosch University; South Africa
Chao Wang; Virginia Tech; USA
Charles Zhang; Hong Kong University of Science and Technology; Hong Kong
Lu Zhang; Peking University; China
Jianjun Zhao; Shanghai Jiao Tong University; China
Thomas Zimmermann; Microsoft Research; USA
