Jo Atlee; University of Waterloo; Canada
Luciano Baresi; Politecnico di Milano; Italy
Earl Barr; University College London; UK
Benoit Baudry; INRIA; France
Nelly Bencomo; Aston University; UK
Antonia Bertolino; CNR-ISTI; Italy
Domenico Bianculli; University of Luxembourg; Luxembourg
Paulo Borba; Centro de Informatica; Universidade Federal de Pernambuco; Brazil
Betty HC Cheng; Michigan State University; USA
Jane Cleland-Huang; DePaul University; USA
Anthony Cleve; University of Namur; Belgium
Myra Cohen; University of Nebraska-Lincoln; USA
Daniela Damian; University of Victoria; Canada
Gordon Fraser; University of Sheffield; UK
Tibor Gyimothy; University of Szeged; Hungary
Sung Kim; Hong Kong University of Science and Technology; Hong Kong; China
Jens Krinke; University College London; UK
Wes Masri; American University of Beirut; Lebanon
Tim Menzies; NcState University; USA
Andreas Metzger; Paluno; University of Duisburg-Essen; Germany
Mira Mezini; Technische Universitat Darmstadt; Germany
Ana Milanova; Rensselaer Polytechnic Institute; USA
Audris Mockus; University of Tennessee; USA
Jon Penix; Mountain View Research Center; Google; USA
Mauro Pezze; University of Lugano; Switzerland
Alessandra Russo; Imperial College; UK
Martin Shepperd; Brunel University; UK
Marin Silic; University of Zagreb; Croatia
Saurabh Sinha; IBM India
Zhengdong Su; UC Davis; USA
Peri Tarr; IBM Thomas JWatson Research Center; USA
Paolo Tonella; FBK; Italy
Sebastian Uchitel; University of Buenos Aires; Argentina
Arie van Deursen; TU Delft; Netherlands
Jianjun Zhao; Shanghai Jiao Tong University; China
Andreas Zeller; Saarland University; Germany
Andrea Zisman; Open University; UK
