Anirüddhā Gokhālé; Vanderbilt University
Kenichi Asai; Ochanomizu University
Emilie Balland;
Don Batory; University of Texas; Austin
Walter Binder; University of Lugano
Jan Bosch; Chalmers University of Technology; Sweden
Akshay Dabholkar; Oracle
Ewen Denney; NASA Ames Research Center
Katrina Falkner; University of Adelaide; Australia
Bernd Fischer; Stellenbosch University
Matthew Flatt; University of Utah
Jeff Gray; University of Alabama; USA
Michael Haupt; Oracle Labs
James Hill; IUPUI
Young-Woo Kwon; Utah State University
Raffaela Mirandola; Politecnico di Milano
Hridesh Rajan; Iowa State University; USA
Márcio Ribeiro; Federal University of Alagoas (UFAL)
Tiark Rompf; Purdue & Oracle Labs
Laurent Réveillère;
Klaus Schmid; Stiftung Universistat Hildesheim
Norbert Siegmund; University of Passau
Yannis Smaragdakis; University of Athens
Sumant Tambe; Real-Time Innovations; Inc.
Petr Tuma; Charles University; Czech Republic
Nalini Venkatasubramanian; University of California; Irvine
Jules White; Vanderbilt University
Eric Wohlstadter; University of British Columbia
