Bram Adams; Ecole Polytechnique de Montreal; Canada
Giuliano Antoniol; Ecole Polytechnique de Montreal; Canada
Gabriele Bavota; University of Sannio; Italy
Andrew Begel; Microsoft Research; USA
Dirk Beyer; University of Passau; Germany
Dave Binkley; Loyola University Maryland; USA
Mariano Ceccato; Fondazione Bruno Kessler; Italy
Anthony Cleve; University of Namur; Belgium
Michael Collard; The University of Akron; USA
James R. Cordy; Queen's University; Kingston; Canada
Andrea De Lucia; University of Salerno; Italy
Serge Demeyer; Universiteit Antwerpen; Belgium
Rudolf Ferenc; University of Szeged; Hungary
Thomas Fritz; University of Zurich; Switzerland
Daniel German; University of Victoria; Canada
Malcom Gethers; University of Maryland; USA
Mark Grechanik; University of Illinois at Chicago; USA
Abdelwahab Hamou-Lhadj; Concordia Unversity; Canada
Emily Hill ; Montclair State University; USA
Abram Hindle; University of Alberta; Canada
Daqing Hou; Clarkson University; USA
Foutse Khomh; Ecole Polytechnique de Montreal; Canada
Rainer Koschke; University of Bremen; Germany
Nicholas A. Kraft; The University of Alabama; USA
Jens Krinke; University College London; UK
Ralf Laemmel; Universitat Koblenz-Landau; Germany
Michele Lanza ; University of Lugano; Switzerland
David Lo; Singapore Management University; Singapore
Jonathan I. Maletic; Kent State University; USA
Andrian Marcus; Wayne State University; USA
Collin McMillan; University of Notre Dame; USA
Leon Moonen; Simula Research Laboratory; Norway
Rocco Oliveto; University of Molise; Italy
Martin Pinzger; Delft University of Technology; Netherlands
Lori Pollock; University of Delaware; USA
Vaclav Rajlich; Wayne State University; USA
Filippo Ricca; University of Genova; Italy
Romain Robbes; University of Lugano; Switzerland
Chanchal K. Roy; University of Saskatchewan; Canada
Giuseppe Scanniello; University of Basilicata; Italy
Emad Shihab ; Rochester Institute of Technology; USA
Andreas Stefik; Southern Illinois University Edwardsville; USA
Paolo Tonella; Fondazione Bruno Kessler; Italy
Arie Van Deursen; Delft University of Technology; Netherlands
Zhengchang Xing; National University of Singapore; Singapore
Andy Zaidman; Delft University of Technology; Netherlands
Thomas Zimmermann; Microsoft Research; USA
