Bram Adams; École Polytechnique de Montréal; Canada
Giuliano Antoniol; École Polytechnique de Montréal; Canada
Venera Arnaoudova; Washington State University; USA
Alberto Bacchelli; Delft University of Technology; Netherlands
Olga Baysal; Carleton University; Canada
Roman Bednarik; University of Eastern Finland; Finland
Andrew Begel; Microsoft Research; USA
Christian Bird; Microsoft Research; USA
Mariano Ceccato; Fondazione Bruno Kessler; Italy
Anthony Cleve; University of Namur; Belgium
Andrea De Lucia; University of Salerno; Italy
Serge Demeyer; Universiteit Antwerpen; Belgium
Massimiliano Di Penta; University of Sannio; Italy
Natalia Dragan; Kent State University; USA
Thomas Fritz; University of Zurich; Switzerland
Harald Gall; University of Zurich; Switzerland
Alessandro Garcia; Pontifícia Universidade Católica do Rio de Janeiro; Brazil
Mike Godfrey; University of Waterloo; Canada
Carmine Gravino; University of Salerno; Italy
Yann-Gaël Guéhéneuc; École Polytechnique de Montréal; Canada
Tibor Gyimothy; University of Szeged; Hungary
Sonia Haiduc; Florida State University; USA
Stefan Hanenberg; University of Duisburg-Essen; Germany
Mark Harman; University College London; UK
Ahmed E. Hassan; Queen's University; Canada
Abram Hindle; University of Alberta; Canada
Huzefa Kagdi; Wichita State University; USA
Foutse Khomh; École Polytechnique de Montréal; Canada
Rainer Koschke; University of Bremen; Germany
Shinji Kusumoto; Osaka University; Japan
Michele Lanza; University of Lugano; Switzerland
Andrian Marcus; The University of Texas at Dallas; USA
Cristina Marinescu; Politehnica University of Timisoara; Romania
Leon Moonen; Simula Research Laboratory; Norway
Rocco Oliveto; University of Molise; Italy
Annibale Panichella; Delft University of Technology; Netherlands
Chris Parnin; North Carolina State University; USA
Denys Poshyvanyk; College of William and Mary; USA
Václav Rajlich; Wayne State University; USA
Tobias Roehm; CQSE GmbH; Germany
Giuseppe Scanniello; University of Basilicata; Italy
Alexander Serebrenik; Eindhoven University of Technology; Netherlands
David Shepherd; ABB Inc.; USA
Emad Shihab; Concordia University; Canada
Janet Siegmund; University of Passau; Germany
Paolo Tonella; Fondazione Bruno Kessler - IRST; Italy
Nikolaos Tsantalis; Concordia University; Canada
Aiko Yamashita; Oslo and Akershus University College of Applied Sciences; Norway
Andy Zaidman; Delft University of Technology; Netherlands
Bogdan Dit; Boise State University; USA
Latifa Guerrouj; École de Technologie Supérieure; Canada
Lingxiao Jiang; Singapore Management University; Singapore
Yasutaka Kamei; Kyushu University; Japan
Lucia Lucia; University of Luxembourg; Luxembourg
Sebastiano Panichella; University of Zurich; Switzerland
Xin Peng; Fudan University; China
Shivani Rao; LinkedIn; USA
Suresh Thummalapenta; Microsoft; USA
Xiaoyin Wang; University of Texas at San Antonio; USA
Xin Xia; Zhejiang University; China
Hongyu Zhang; Tsinghua University; China
Jairo Aponte; Universidad Nacional de Colombia; Columbia
Alexandre Bergel; University of Chile; Chile
Jens Knodel; Fraunhofer IESE; Germany
Shane McIntosh; McGill University; Canada
Petru Mihancea; Politehnica University of Timișoara; Romania
Diomidis Spinellis; Athens University of Economics and Business; Greece
