Lionel Briand; University of Luxembourg; Luxembourg
Margaret Burnett; Oregon State University; United States of America
Manuel Carro; IMDEA Software Institute and Universidad Politécnica de Madrid; Spain
Antonio Carzaniga; University of Lugano; Switzerland
Krzysztof Czarnecki; University of Waterloo; Canada
Prem Devanbu; University of California Davis; United States of America
Schahram Dustdar; Vienna University of Technology; Austria
Matt Dwyer; University of Nebraska; United States of America
Robert B. France; Colorado State University; United States of America
Harald Gall; University of Zurich; Switzerland
David Garlan; Carnegie Mellon University; United States of America
Carlo Ghezzi; Politecnico di Milano; Italy
Dimitra Giannakopoulou; NASA Ames; United States of America
Michael Goedicke; University of Duisburg-Essen; Germany
Volker Gruhn; University of Duisburg-Essen; Germany
Paul Grünbacher; Johannes Kepler University Linz; Austria
John Grundy; Swinburne University of Technology; Australia
Mark Harman; University College London; UK
Wilhelm Hasselbring; University of Kiel; Germany
Jane Hayes; University of Kentucky; United States of America
Jim Herbsleb; Carnegie Mellon University; United States of America
Patrick Heymans; University of Namur & Inria Belgium France
Paola Inverardi; University of L'Aquila; Italy
Valerie Issarny; Inria; France
Mehdi Jazayeri; University of Lugano; Switzerland
Jean-Marc Jézéquel; Irisa-University of Rennes; France
Sunghun Kim; Hong Kong University of Science and Technology; China
John C. Knight; University of Virginia; United States of America
Robyn Lutz; Iowa State University and Jet Propulsion Lab/Caltech; United States of America
Jeff Magee; Imperial College; London; United Kingdom
Gail C. Murphy; University of British Columbia; Canada
John Mylopoulos; University of Trento; Italy
Nachiappan Nagappan; Microsoft Research; United States of America
Alessandro Orso; Georgia Institute of Technology; United States of America
Mauro Pezze; University of Lugano and University of Milano Bicocca; Switzerland-Italy
Ralf Reussner; KIT / FZI; Germany
Martin Robillard; McGill University; Canada
David S. Rosenblum; National University of Singapore; Singapore
Gregg Rothermel; University of Nebraska - Lincoln; United States of America
Wilhelm Schäfer; University of Paderborn; Germany
Tetsuo Tamai; University of Tokyo; Japan
Peri Tarr; IBM Research;  q United States of America
Frank Tip; University of Waterloo; Canada
Sebastian Uchitel; Universidad de Buenos Aires and Imperial College London Argentina-United Kingdom
André van der Hoek; University of California Irvine; United States of America
Willem Visser; Stellenbosch University; South Africa
Jon Whittle; Lancaster University; United Kingdom
