Jonathan Aldrich; Carnegie Mellon University; United States
Giulio Antoniol; Ecole Polytechnique de Montreal; Canada
Sven Apel; University of Passau; Germany
Benoit Baudry; INRIA; France
Andrew Begel; Microsoft Research; United States
Victor Braberman; University of Buenos Aires/CONICET; Argentina
Lionel Briand; University of Luxembourg; Luxembourg
Yuriy Brun; University of Massachusetts; United States
Tevfik Bultan; University of California Santa Barbara; United States
Cristian Cadar; Imperial College London; United Kingdom
James Clause; University of Delaware; United States
Myra Cohen; University of Nebraska - Lincoln; United States
Andrea De Lucia; University of Salerno; Italy
Elisabetta Di Nitto; Politecnico di Milano; Italy
Schahram Dustdar; Vienna University of Technology; Austria
Jeffrey Foster; University of Maryland College Park; United States
Mark Grechanik; University of Illinois at Chicago; United States
John Grundy; Swinburne University of Technology; Australia
Lars Grunske; University of Stuttgart; Germany
John Hatcliff; Kansas State University; United States
Felienne Hermans; Delft University of Technology; Netherlands
Patrick Heymans; University of Namur; Belgium
Reid Holmes; University of Waterloo; Canada
Miryung Kim; University of California;  Los Angeles; United States
Moonzoo Kim; KAIST; South Korea
Akash Lal; Microsoft Research; India
David Lo; Singapore Management University; Singapore
Sam Malek; George Mason University; United States
Andrian Marcus; Wayne State University; United States
Leonardo Mariani; University of Milano Bicocca; Italy
Stephen McCamant; University of Minnesota; United States
Oscar Nierstrasz; University of Bern; Switzerland
Patrizio Pelliccione; Chalmers University of Technology and U. Gothenburg; Sweden
Suzette Person; NASA; United States
Denys Poshyvanyk; The College of William and Mary; United States
Steve Reiss; Brown University; United States
Romain Robbes; University of Chile; Chile
Martin Robillard; McGill University; Canada
Caitlin Sadowski; Google; United States
Yannis Smaragdakis; University of Athens; Greece
Giancarlo Succi; Free University of Bolzano; Italy
Paolo Tonella; FBK - Fondazione Bruno Kessler; Italy
André van der Hoek; University of California Irvine; United States
Willem Visser; Stellenbosch University; South Africa
Westley Weimer; University of Virginia; United States
Laurie Williams; North Carolina State University; United States
Tao Xie; University of Illinois at Urbana-Champaign; United States
Andreas Zeller; Saarland University; Germany
