Alexander Serebrenik; Eindhoven University of Technology; The Netherlands
Yann-Gaël Guéhéneuc; Ecole Polytechnique de Montréal; Canada 
Tom Mens; University of Mons; Belgium 
Paul Anderson; Grammatech; USA
Nicolas Anquetil; INRIA & USTL; France
Doo-Hwan Bae; KAIST; Korea
Ayse Basar Bener; Ryerson University; Canada
Christian Bird; Microsoft Research; USA
Goetz Botterweck; Lero / University of Limerick; Ireland
Mark van den Brand; Eindhoven University of Technology; The Netherlands
Andrea Capiluppi; Brunel University; UK
Mariano Ceccato; Fondazione Bruno Kessler; Italy
Alexander Chatzigeorgiou; University of Macedonia; Greece
Jane Cleland-Huang; DePaul University; USA
Anthony Cleve; University of Namur; Belgium
Michael Collard; University of Akron; USA
James Cordy; Queen's University; Canada
Massimiliano Di Penta; University of Sannio; Italy
Danny Dig; University of Illinois at Urbana-Champaign; USA
Laurence Duchien; INRIA Lille; France
Jean-Rémy Falleri; U. Bordeaux 1; France
Rudolf Ferenc; University of Szeged; Hungary
Malcom Gethers; University of Maryland; USA
Yossi Gil; Technion - Israel Institute of Technology; Israel
Michael Godfrey; Waterloo; Canada
Mark Grechanik; University of Illinois at Chicago; USA
Rajiv Gupta; University of California Riverside; USA
Mark Harman; University College London; UK
Pedro Rangel Henriques; Universidade do Minho; Portugal
Felienne Hermans; Technical University of Delft; Netherlands
Abram Hindle; University of Alberta; Canada
Zhang Hongyu; Tsinghua University; China
Daqing Hou; Clarkson University; USA
Marianne Huchard; Université Montpellier; France
Katsuro Inoue; Osaka University
Huzefa Kagdi; Wichita State University; USA
Foutse Khomh; Queen's University;; Canada
Jens Knodel; Fraunhofer Institute for Experimental Software Engineering; Germany
Dawn Lawrie; Loyola University Maryland; USA
Leen Lambers; Hasso-Plattner-Institut; Universität Potsdam; Germany
Byungjeong Lee; University of Seoul; Korea
Zheng Li; Bejing University of Chemical Technology; China
David Lo; Singapore Management University; Singapore
Jonathan I. Maletic; Kent State University; USA
Andrian Marcus; Wayne State University; USA
Cristina Marinescu; Politehnica University of Timisoara; Romania
Hong Mei; Peking University; China
Leon Moonen; Simula Research Laboratory; Norway
Tien Nguyen; Iowa State University; USA
Oscar Nierstrasz; University of Bern; Switzerland
Rocco Oliveto; University of Molise; Italy
Ekaterina Pek; University of Koblenz; Germany
Martin Pinzger; Technical University of Delft / Klagenfurt University; Netherlands / Austria
Lori Pollock; University of Delaware; USA
Steven Reiss; Brown University; USA
Brian Robinson; ABB Corporate Research; USA
Gregorio Robles; Universidad Rey Juan Carlos; Spain
Chanchal Roy; University of Saskatchewan; Canada
Giuseppe Scanniello; University of Basilicata; Italy
Carolyn Seaman; University of Maryland; USA
Janet Siegmund; Otto-von-Guericke-Universität Magdeburg; Germany
Kobayashi Takashi; Tokyo Institute of Technology; Japan
Ewan Tempero; The University of Auckland; New Zealand
Suresh Thummalapenta; IBM Research; India
Marco Tulio Valente; Universidade Federal de Minas Gerais; Brazil
Ragnhild Van Der Straeten; VUB; Belgium
Antonio Vallecillo; University of Malaga; Spain
Michel Wermelinger; The Open University; UK
Lu Zhang; Peking University; China
Lingming Zhang; University of Texas at Austin; USA
Thomas Zimmermann; Microsoft Research; USA
Anthony Cleve; University of Namur; Belgium (co-chair)
Mark van den Brand; Eindhoven University of Technology; The Netherlands (co-chair)
Mathieu Acher INRIA Rennes; France
Amir Aryani; RMIT University; Australia
Alberto Bacchelli; University of Lugano; Switzerland
Marcus Denker; INRIA Lille - Nord Europe; France
Alessandro Garcia; PUC-Rio; Brazil
Malcom Gethers; College of William and Mary; USA
Sonia Haiduc; Wayne State University; USA
Jan Harder; University of Bremen; Germany
Adrian Johnstone; Royal University of London; UK
Yasutaka Kamei; Kyushu University; Japan
Foutse Khomh Queen's University; Canada
Jens Knodel; Fraunhofer Institute; Germany
Mircea Lungu; University of Bern; Germany
Xin Peng; Fudan University; China
Juergen Rilling; Concordia University; Canada
Wenhua Wang; Marin Software; USA
Tibor Gyimothy; University of Szeged; Hungary (co-chair)
Lori Pollock; University of Delaware; USA (co-chair)
Denys Poshyvanyk; William and Mary College; USA
Eleni Stroulia; University of Alberta; Canada
Paolo Tonella; Fondazione Bruno Kessler; Italy
Alexander Serebrenik; Eindhoven University of Technology; The Netherlands
Mark van den Brand; Eindhoven University of Technology; The Netherlands
László Vidács; University of Szeged; Hungary
Amir Aryani; RMIT University; Australia
Gabriele Bavota; University of Salerno; Italy
Árpád Beszédes; University of Szeged; Hungary
Yingnong Dang; Microsoft Research Asia; China
Fabio Q. B. Da Silva; Federal University of Pernambuco; Brazil
Chen Fu; Accenture Technology Labs; USA
Alessandro Garcia; Pontifical Catholic University of Rio de Janeiro; Brazil
Nils Göde; Universität Bremen; Germany
Sonia Haiduc; Wayne State University; USA
Yoshiki Higo; Osaka University; Japan
Emily Hill; Montclair State University; USA
Sungwon Kang; KAIST; South Korea
Sègla Kpodjedo; Benchmark Consulting; Canada
Nicholas A. Kraft; University of Alabama; USA
Jens Krinke; University College London; UK
Alessandro Marchetto; Fiat Research Center; Italy
Meiyappan Nagappan; Queen’s University; Canada
Takayuki Omori; Ritsumeikan University; Japan
David Röthlisberger; Universidad de Chile; Chile
Emad Shihab; Rochester Institute of Technology; USA
Ladan Tahvildari; University of Waterloo; Canada
Eli Tilevich; Virginia Tech; USA
Porfirio Tramontana; University of Naples Federico II; Italy
Nikolaos Tsantalis; Concordia University; Canada
Burak Turhan; University of Oulu; Finland
László Vidács; University of Szeged; Hungary
Neil Walkinshaw; University of Leicester; UK
Anja Guzzi; Delft University of Technology
Christian Hammer; Saarland University
Lile Hattori; University of Lugano; Switzerland
Angela Lozano; Université catholique de Louvain
Joost Visser; Software Improvement Group; The Netherlands (Chair)
Andreas Winter; Carl von Ossietzky University; Germany
Mark van den Brand; Eindhoven University of Technology; The Netherlands
Tiago Alves; OutSystems; USA
Petra Heck; Fontys University of Applied Sciences; The Netherlands
Merijn de Jonge; Sorama; The Netherlands
Lodewijk Bergmans; University of Twente; The Netherlands
Andy Zaidman; Delft University of Technology; The Netherlands
Eric Bouwers; Software Improvement Group; The Netherlands
Rudolf Ferenc; University of Szeged; Hungary
Robert Nord; Software Engineering Institute; Carnegie Mellon University; USA
Ariadi Nugroho; Software Improvement Group; The Netherlands
Mark Grechanik; University of Illinois at Chicago; USA
Grace Lewis; Carnegie Mellon Software Engineering Institute; USA
Elmar Juergens; Technische Universitaet Muenchen; Germany
Istvan Siket; University of Szeged; Hungary
Carl Worms; Credit Suisse; Switzerland
Serge Demeyer; Universiteit Antwerpen (ANSYMO); Belgium
James Terwilliger; Microsoft Corporation; USA
Paul Anderson; GrammaTech Inc.; USA
Michaela Greiler; Microsoft Corporation; USA
Carola Lilienthal; C1 WPS GmbH/University of Hamburg; Germany
Thomas Dean; Queens University; Canada
Tom Mens; University of Mons; Belgium
