Bram Adams; École Polytechnique de Montréal; Canada
Sven Apel; University of Passau; Germany
Alberto Bacchelli; Delft University of Technology; The Netherlands
Gabriele Bavota; University of Sannio; Italy
Andrew Begel; Microsoft Research; USA
Arpad Beszedes; University of Szeged; Hungary
Dirk Beyer; University of Passau; Germany
Dave Binkley; Loyola University Maryland; USA
James Clause; University of Delaware; USA
James R. Cordy; Queen's University; Canada
Krzysztof Czarnecki; University of Waterloo; Canada
Serge Demeyer; Universiteit Antwerpen; Belgium
Massimiliano Di Penta; University of Sannio; Italy
Stephan Diehl; University Trier; Germany
Alexander Egyed; Johannes Kepler University; Austria
Vladimir Filkov; University of California Davis; USA
Thomas Fritz; University of Zurich; Switzerland
Alessandro Garcia; Pontifícia Universidade Católica do Rio de Janeiro; Brazil
Michael Godfrey; University of Waterloo; Canada
William Halfond; University of Southern California; USA
Mark Harman; University College London; UK
Katsuro Inoue; Osaka University; Japan
Lingxiao Jiang; Singapore Management University; Singapore
Jens Knodel; Fraunhofer IESE; Germany
Michele Lanza; University of Lugano; Switzerland
Claire Le Goues; Carnegie Mellon University; USA
David Lo; Singapore Management University; Singapore
Andrian Marcus; University of Texas at Dallas; USA
Cristina Marinescu; Politehnica University of Timisoara; Romania
Collin McMillan; University of Notre Dame; USA
Audris Mockus; University of Tennessee; USA
Martin Monperrus; University of Lille & INRIA; France
Gail Murphy; University of British Columbia; Canada
Emerson Murphy-Hill; North Carolina State University; USA
Meiyappan Nagappan; Queen's University; Canada
Oscar Nierstrasz; University of Bern; Switzerland
Xin Peng; Fudan University; China
Denys Poshyvanyk; College of William and Mary; USA
Zhengwei Qi; Shanghai Jiao Tong University; China
Jochen Quante; Robert Bosch GmbH; Germany
Pedro Rangel Henriques; Universidade do Minho; Portugal
Romain Robbes; University of Chile; Chile
Giuseppe Scanniello; University of Basilicata; Italy
Ina Schaefer; Technische Universität Braunschweig; Germany
Alexander Serebrenik; Eindhoven University of Technology; The Netherlands
David Shepherd; ABB; Inc; USA
Emad Shihab; Concordia University; Canada
Saurabh Sinha; IBM Research; India
Kathryn Stolee; Iowa State University; USA
Lin Tan; University of Waterloo; Canada
Ewan Tempero; The University of Auckland; New Tealand
Paolo Tonella; Fondazione Bruno Kessler - IRST; Italy
Christoph Treude; Universidade Federal do Rio Grande do Norte; Brazil
Marco Tulio Valente; UFMG; Brazil
Arie van Deursen; Delft University of Technology; The Netherlands
Tanja Vos; Universidad Politécnica de Valencia; Spain
Michel Wermelinger; The Open University; UK
Thomas Zimmermann; Microsoft Research; USA
