Giuliano Antoniol; Ecole Polytechnique De Montreal; Canada 
Andrea Arcuri; Simula Research Lab; Norway Paul Baker; Motorola; UK 
Klaus Beetz; Siemens; USA 
Fevzi Belli; Paderborn University; Germany 
Antonia Bertolino; CNR/ISTI; Italy 
James Bieman; Colorado State University; USA 
Dave Binkley; Loyola College in Maryland; USA 
Mario Bravetti; Bologna University; Italy 
Renee Bryce; Utah State University; USA 
Jeffrey Carver; University of Alabama; USA 
Mei-Hwa Chen; State University of New York - Albany; USA 
T.Y. Chen; Swinburne University of Technology; Australia 
Myra Cohen; University of Nebraska – Lincoln; USA 
Juergen Dingel; School of Computing Queen's University; Canada 
Hyunsook Do; North Dakota State University; USA 
Lydie du Bousquet; Joseph Fourier University; France 
Khaled ElFakih; American University of Sharjah; UAE 
Robert Feldt; Blekinge Institute of Technology; Sweden 
Robert France; Colorado State University; USA 
Gordon Fraser; Saarland University; Germany 
Angelo Gargantini; University of Bergamo; Italy 
Vahid Garousi; University of Calgary; Canada 
Wolfgang Grieskamp; Microsoft Research; USA 
Roland Groz; LSR-IMAG; France 
Yann-Gaël Guéhéneuc; Ecole Polytechnique De Montreal; Canada 
Toru Hasegawa; KDDI R&D Labs; Japan 
Dieter Hogrefe; Gottingen University; Germany 
Gerard Holzmann; NASA/JPL; USA 
Florentin Ipate; University of Pitesti; Romania 
Sarfraz Khurshid; University of Texas - Austin; USA 
Myungchul Kim; Information and Communications University; Korea 
Jens Knoop; Technische Universität Wien; Austria 
Pieter Kritzinger; University of Cape Town; South Africa 
Yvan Labiche; Carleton University; Canada 
Yves Le Traon; Telecom Bretagne; France 
Martin Leucker; TU Münchenv; Germany 
Hareton Leung; Hong Kong Polytechnic University; China 
Shaoying Liu; Hosei University; Japan 
Stephane Maag; Institut Telecom; France 
Darko Marinov; University of Illinois; USA 
Eliane Martins; Campinas University; Brazil 
Wassim Masri; American University of Beirut; Lebanon 
Mercedes Merayo; Complutense de Madrid University; Spain 
James Miller; University of Alberta; Canada 
Aditya Nori; Microsoft; USA 
Marcel Oliveira; Federal University of Rio Grande do Norte; Brazil 
Alex Orso; Georgia Institute of Technology; USA 
Ioannis Parissis; Grenoble Institute of Technology; France 
Jan Peleska; University of Bremen; Germany 
Alex Petrenko; CRIM; Canada 
Jan Philipps; Validas AG; Germany 
Andrea Polini; University of Camerino; Italy 
S. Ramesh; General Motors India Science Lab; Índia 
Filippo Ricca; University of Genoa; Italy 
Ismael Rodriguez; Complutense de Madrid University; Spain 
Vasile Rus; University of Memphis; USA 
Sreedevi Sampath; University of Maryland- Baltimore County; USA 
Holger Schlingloff; Fraunhofer FIRST; Germany 
K.C. Shashidhar; Fraunhofer IESE; Germany 
Avik Sinha; IBM; USA 
Saurabh Sinha; IBM Research-India; India 
Kari Smolander; Lappenranta University of Technology; Finland 
Mary Lou Soffa; University of Virginia; USA 
Nikolai Tillmann; Microsoft; USA 
Paolo Tonella; ITC-IRST; Italy 
Andreas Ulrich; Siemens; Germany 
Margus Veanes; Microsoft; USA 
Willem Visser; University of Stellenbosch; South Africa 
Stephan Weissleder; Humboldt University of Berlin; Germany 
Elaine Weyuker; AT&T; USA 
Burkhart Wolff; ParisSud University; France 
Tao Xie; North Carolina State University; USA 
Baowen Xu; Nanjing University; China 
Hoijin Yoon; Hyupsung University; Korea 
Fatiha Zaidi; Paris Sud University; France 
Andreas Zeller; Saarland University; Germany 
