James Andrews; University of Western Ontario; Canada
Andrea Arcuri; Schlumberger and Simula Research Lab; Norway
Erik Arisholm; Testify; Norway
Fevzi Belli; Paderborn University; Germany
James Bieman; Colorado State University; USA
Kiril Bogdanov; The University of Sheffield; UK
Fabrice Bouquet; The Université de Franche Comté; France
Mario Bravetti; Bologna University; Italy
Renee Bryce; Utah State University; USA
Jeffrey Carver; University of Alabama; USA
Tsong Yueh Chen; Swinburne University of Technology; Australia
Myra Cohen; University of Nebraska; USA
Guglielmo De Angelis; ISTI-CNR; Italy
Juergen Dingel; School of Computing Queen's University; Canada
Hyunsook Do; North Dakota State University; USA
Sebastian Elbaum; University of Nebraska; USA
Sigrid Eldh; Ericsson; Sweden
Khaled ElFakih; American University of Sharjah; UAE
Robert Eschbach; ITK Engineering AG; Germany
Robert France; Colorado State University; USA
Angelo Gargantini; University of Bergamo; Italy
Sudipto Ghosh; Colorado State University; USA
Mark Grechanik; Accenture; USA
Wolfgang Grieskamp; Google; USA
Roland Groz; LSR-IMAG; France
Mark Harman; University College; UK
Toru Hasegawa; KDDI R&D Labs; Japan
Gerard Holzmann; NASA/JPL; USA
Thierry Jeron; IRISA / INRIA Rennes; France
Sarfraz Khurshid; University of Texas - Austin; USA
Myungchul Kim; Department of Computer Science KAIST; Korea
Jens Knoop; Technische Universität Wien; Austria
Bogdan Korel; Illinois Institute of Technology; USA
Pieter Kritzinger; University of Cape Town; South Africa
Bruno Legeard; Smartesting; France
Yu Lei; University of Texas at Arlington; USA
Yves LeTraon; University of Luxembourg; Luxembourg
Shaoying Liu; Hosei University; Japan
Stephane Maag; Institut Telecom; France
Rajib Mall; IIT Kharagpur; India
Eda Marchettiÿ; ISTI-CNR; Italy
Darko Marinov; University of Illinois; USA
Eliane Martins; Campinas University; Brazil
Wassim Masri; American University of Beirut; Lebanon
Phil McMinn; University of Sheffield; UK
Mercedes Merayo; Complutense de Madrid University; Spain
Ali Mesbah; University of British Columbia; Canada
Henry Muccini; University of L'Aquila; Italy
Nachiappan Nagappan; Microsoft; USA
Jeff Offutt; George Mason University; USA
Marcel Oliveira; Federal University of Rio Grande do Norte; Brazil
Amit Paradkar; IBM; USA
Ioannis Parissis;Grenoble Institute of Technology; France
Alex Petrenko; CRIM; Canada
Marco Pistoia; IBM; USA
Andrea Polini; University of Camerino; Italy
Alexander Pretschner; Karlsruhe Institute of Technology; Germany
Filippo Ricca; University of Genoa; Italy
Niciolas Riviere; LAAS; France
Brian Robinson; ABB; USA
Ismael Rodriguez; Complutense de Madrid University; Spain
Marc Roper; University of Strathclyffe; Scotland
Sreedevi Sampath; University of Maryland- Baltimore County; USA
Sara Sprenkle; Washington & Lee University; USA
Paul Strooper; University of Queensland; Australia
Nikolai Tillmann; Microsoft; USA
Paolo Tonella; ITC-IRST; Italy
Jan Tretmans; Radboud University Nijmegen; Netherlands
T.H. Tse; University of Hong Kong; China
Andreas Ulrich; Siemens; Germany
Willem Visser; University of Stellenbosch; South Africa
Helene Waeselynck; LAAS-CNRS; France
Laurie Williams; North Carolina State University; USA
Eric Wong; University of Texas - Dallas; USA
Tao Xie; North Carolina State University; USA
Fatiha Zaidi; Paris Sud University; France
Andreas Zeller; Saarland University; Germany
