Andrea Arcuri; Schlumberger & Simula Research Laboratory; Norway
Paul Ammann; George Mason University; USA
Anneliese Andrews; University of Denver; USA
Giuliano Antoniol; Ecole Polytechnique de Montréal; Canada
Thomas Ball; Microsoft Research; USA
Fevzi Belli; University of Paderborn; Germany
Tomas Berling; Saab AB; EDS; Sweden
Kirill Bogdanov; University of Sheffield; UK
Fabrice Bouquet; Université de Franche Comté; France
Tevfik Bultan; University of California at Santa Barbara; USA
Cristian Cadar; Imperial College London; UK
Ana Cavalli; Institut National des Telecommunications; France
James Clause; University of Delaware; USA
Ian Craggs; IBM United Kingdom; UK
Christoph Csallner; University of Texas at Arlington; USA
Marcio Eduardo Delamaro; Universidade de São Paulo; Brazil
Massimiliano Di Penta; University of Sannio; Italy
Rachida Dssouli; Concordia University; Canada
Lydie Du Bousquet; Laboratoire d'Informatique de Grenoble (LIG); France
Stephen Edwards; Virginia Tech; USA
Sigrid Eldh; Ericsson and Karlstad University; Sweden
Robert Feldt; Blekinge Institute of Technology; Sweden
Franck Fleurey; SINTEF; Norway
Phyllis Frankl; Polytechnic Institute of NYU; USA
Gordon Fraser; University of Sheffield; UK
Sudipto Ghosh; Colorado State University; USA
Arnaud Gotlieb; Simula Research Laboratory; Norway
Jens Grabowski; Gottingen University; Germany
Mark Harman; University College London; UK
Robert Hierons; Brunel University; UK
Florentin Ipate; University of Bucharest; Romania
Natalia Juristo; Universidad Politécnica de Madrid; Spain
Gail Kaiser; Columbia University; USA
Aditya Kanade; Indian Institute of Science; India
Johannes Kinder; École Polytechnique Fédérale de Lausanne (EPFL); Switzerland
Yu Lei; University of Texas at Arlington; USA
Francesca Lonetti; ISTI CNR; Italy
Eda Marchetti; ISTI-CNR; Italy
Leonardo Mariani; University of Milan-Bicocca; Italy
Darko Marinov; University of Illinois at Urbana-Champaign; USA
Wes Masri; American University of Beirut; Lebanon
Phil McMinn; University of Sheffield; UK
Atif Memon; University of Maryland; USA
James Miller; University of Alberta; Canada
Tejeddine Mouelhi; University of Luxembourg; Luxembourg
Henry Muccini; University of L'Aquila; Italy
Jürgen Münch; University of Helsinki; Finland
Nachiappan Nagappan; Microsoft Corporation; USA
Brian Nielsen; Aalborg University; Denmark
Jeff Offutt; George Mason University; USA
Marcel Oliveira; Universidade Federal do Rio Grande do Norte; Brazil
Thomas Ostrand; Rutgers University Center for Discrete Mathematics & Computer Science; USA
Alexander Pretschner; Technische Universitaet Muenchen; Germany
Filippo Ricca; Università di Genova; Italy
Marc Roper; University of Strathclyde; UK
Gregg Rothermel; University of Nebraska - Lincoln; USA
Abhik Roychoudhury; National University of Singapore; Singapore
Per Runeson; Lund University; Sweden
Saurabh Sinha; IBM Research; India
Paul Strooper; University of Queensland; Australia
Lin Tan; University of Waterloo; Canada
Tatsuhiro Tsuchiya; Osaka University; Japan
Richard Torkar; Chalmers and the University of Gothenburg; Sweden
Jan Tretmans; TNO - Embedded Systems Innovation; The Netherlands
T.H. Tse; The University of Hong Kong; Hong Kong
Hasan Ural; University of Ottawa; Canada
Arie van Deursen; Delft University of Technology; The Netherlands
Miroslav Velev; Aries Design Automation; USA
Helene Waeselynck; LAAS-CNRS; France
Hironori Washizaki; Waseda University; Japan
Michael Whalen; University of Minnesota; USA
Franz Wotawa; Graz University of Technology; Austria
Tao Xie; University of Illinois at Urbana-Champaign; USA
Xiangyu Zhang; Purdue University; USA
Hong Zhu; Oxford Brookes University; UK
Peter Zimmerer; Siemens AG; Germany
Thomas Zimmerman; Microsoft Research; USA
