Joanne Atlee; University of Waterloo
George Avrunin; University of Massachusetts
Thomas Ball; Microsoft Research
Antonia Bertolino; IEI-CNR
Lori A. Clarke; University of Massachusetts
Istvan Forgacs; Balthazar Ltd.
Susan Horwitz; University of Wisconsin
Gail Murphy; University of British Columbia
Mauro Pezze'; Politecnico di Milano
Gregg Rothermel; Oregon State University
Mary Lou Soffa; University of Pittsburgh
Frank Tip; IBM T. J. Watson Research Center
Pascale Thevenod-Fosse; LAAS-CNRS
Michal Young; University of Oregon
