Antonia Bertolino; ISTI-CNR; Italy
Lionel Briand; Simula Research Laboratory; Norway
Laura K. Dillon; Michigan State University; USA
Nurit Dor; Panaya Inc.; Israel
Sebastian Elbaum; University of Nebraska - Lincoln; USA
Michael Ernst; MIT; USA
Stephen Fink; IBM T. J. Watson Research Center; USA
Sarfraz Khurshid; The University of Texas at Austin; USA
Ana Milanova; Rensselaer Polytechnic Institute; USA
Corina Pasareanu; NASA Ames Research Center; USA
Andy Podgurski; Case Western Reserve University; USA
Sriram K. Rajamani; Microsoft Research; India
David S. Rosenblum; University College London; UK
Yannis Smaragdakis; University of Oregon; USA
Tao Xie; North Carolina State University; USA
