Jamie Andrews; University of Western Ontario; CA
Antonia Bertolino; Italian National Research Council; Italy
Victor Braberman; Universidad De Buenos Aires; Argentina
Tevfik Bultan; UC Santa Barbara; USA
S.C. Cheung; Hong Kong University of Science & Technology; China
Myra Cohen; University of Nebraska Lincoln; USA
Mark Harman; King's College London; UK
James Jones; UC Irvine; USA
Leonardo Mariani; University of Milan Bicocca; Italy
Darko Marinov; University of Illinois at Urbana-Champaign; USA
Patrizio Pelliccione; University of L'Aquila; Italy
Lori Pollock; University of Delaware; USA
David Rosenblum; University College London; UK
Barbara Ryder; Virginia Tech; USA
Saurabh Sinha; IBM Research; India
Zhendong Su; UC Davis; USA
Frank Tip; IBM Research; USA
Willem Visser; University of Stellenbosch; South Africa
Andreas Zeller; Saarland University; Germany
Xiangyu Zhang; Purdue University; USA
Henry Muccini; Universita de L'Aquila; Italy
Corina Pasareanu; NASA Ames; USA
Charles Pecheur; Université catholique de Louvain; Belgium
Andy Podgurski; Case Western Reserve University; USA
Yannis Smaragdakis; University of Massachusetts Amherst; USA
Elaine Weyuker; AT&T Research Labs; USA
Thomas Zimmermann; Microsoft Research; USA
