George Avrunin; University of Massachusetts
Antonia Bertolino; ISTI-CNR
Eric Bodden; Technische Universität Darmstadt
Marsha Chechik; University of Toronto
Lori Clarke; University of Massachusetts
Danny Dig; University of Illinois at Urbana-Champaign
Sebastian Elbaum; University of Nebraska
Sarfraz Khurshid; University of Texas at Austin
James A. Jones; University of California; Irvine
Aditya V. Nori; Microsoft Research India
Alessandro Orso; Georgia Institute of Technology
Corina Pasareanu; Carnegie Mellon University/NASA Ames Research Center
Marco Pistoia; IBM T. J. Watson Research Center
Andy Podgurski; Case Western Reserve University
Atanas Rountev; Ohio State University
Koushik Sen; University of California; Berkeley
Gregor Snelting; University of Karlsruhe
Andreas Zeller; Saarland University
Thomas Zimmermann; Microsoft Research
