George Avrunin; University of Massachusetts Amherst
Antonia Bertolino; ISTI-CNR
Victor Braberman; Universidad De Buenos Aires; Argentina
Myra Cohen; University of Nebraska
Mark Harman; University College London; UK
William G.J. Halfond; University of Southern California
Mary Jean Harrold; Georgia Institute of Technology
Laurie Hendren; McGill University; Canada
Paola Inverardi; Università dell'Aquila; Italy
Lingxiao Jiang; Singapore Management University
Darko Marinov; University of Illinois at Urbana-Champaign
Aditya V. Nori; Microsoft Research India
Corina Pasareanu; Carnegie Mellon University/NASA Ames Research Center
Lori Pollock; University of Delaware
Manu Sridharan; IBM T.J. Watson Research Center
Paolo Tonella; Fondazione Bruno Kessler; Trento; Italy
Michael Whalen; University of Minnesota
Tao Xie; North Carolina State University
Charles Zhang; Hong Kong Univ of Science and Technology
Xiangyu Zhang; Purdue University
