Lionel Briand; University of Luxembourg; Luxembourg
Antonio Carzaniga; University of Lugano; Switzerland
Myra Cohen; University of Nebraska; USA
Laura Dillon; Michigan State University; USA
Marie-Claude Gaudel; Université de Paris-Sud; France
Andreas Leitner; Google; Switzerland
Darko Marinov; University of Illinois at Urbana-Champaign; USA
Phil McMinn; University of Sheffield; UK
Alessandro Orso; Georgia Institute of Technology; USA
Abhik Roychoudhury; National University of Singapore; Singapore
Andrey Rybalchenko; TU Munich; Germany
Saurabh Sinha; IBM Research; India
Yannis Smaragdakis; University of Athens; Greece
Nikolai Tillman; Microsoft; USA
Paolo Tonella; Fondazione Bruno Kessler; Italy
Willem Visser; University of Stellenbosch; South Africa
Westley Weimer; University of Virginia; USA
Tao Xie; North Carolina State University; USA
Shin Yoo; University College London; UK
Andreas Zeller; Saarland University; Germany
Lu Zhang; Peking University; China
