Eric Bodden; Fraunhofer SIT & Technische Universität Darmstadt; Germany
Cristian Cadar; Imperial College London; UK
Satish Chandra; Samsung Electronics; USA
Marsha Chechik; University of Toronto; Canada
Marcelo d'Amorim; Federal University of Pernambuco; Brazil
Laura Dillon; Michigan State University; USA
Gordon Fraser; University of Sheffield; UK
Jaco Geldenhuys; Stellenbosch University; South Africa
Patrice Godefroid; Microsoft Research; USA
Alex Groce; Oregon State University; USA
Paola Inverardi; Università dell'Aquila; Italy
Somesh Jha; University of Wisconsin; Madison; USA
James A. Jones; University of California; Irvine; USA
Sarfraz Khurshid; University of Texas at Austin; USA
Moonzoo Kim; Korea Advanced Institute of Science and Technology; South Korea
Leonardo Mariani; University of Milano Bicocca; Italy
Darko Marinov; University of Illinois at Urbana-Champaign; USA (Program Chair)
Corina Pasareanu; CMU/NASA Ames Research Center; USA (General Chair)
Suzette Person; NASA Langley Research Center; USA
Gregg Rothermel; University of Nebraska - Lincoln; USA
Neha Rungta; NASA Ames Research Center; USA
Zhendong Su; University of California; Davis; USA
Charles Zhang; HKUST; China
Xiangyu Zhang; Purdue University; USA
