Earl Barr; University College London; UK
Eric Bodden; Fraunhofer SIT & TU Darmstadt; Germany
Marcelo d'Amorim; Federal University of Pernambuco; Brazil
Alessandra Gorla; IMDEA Software Institute; Spain
William G.J. Halfond; University of Southern California; USA
Mats Heimdahl; University of Minnesota; Twin Cities; USA
Sarfraz Khurshid; University of Texas at Austin; USA
Wei Le; Iowa State University; USA
Phil McMinn; University of Sheffield; UK
Ana Milanova; Rensselaer Polytechnic Institute; USA
Corina Pasareanu; Carnegie Mellon Silicon Valley; NASA Ames; USA
Suzette Person; NASA Langley Research Center; USA
Mauro Pezzè; University of Milano Bicocca; Italy; University of Lugano; Switzerland
Mukul Prasad; Fujitsu Laboratories of America; USA
Gregg Rothermel; University of Nebraska; Lincoln; USA
Abhik Roychoudhury; National University of Singapore; Singapore
Koushik Sen; University of California; Berkeley; USA
Saurabh Sinha; IBM Research; India
Nick Sumner; Simon Fraser University; Canada
Frank Tip; Samsung Research America; USA
Suresh Thummalapenta; Microsoft; USA
Tao Xie; University of Illinois at Urbana-Champaign; USA
Guoqing (Harry) Xu; University of California; Irvine; USA
