Mehmet Aksit; University of Twente; Netherlands
Omar Aldawud; Lucent Technologies; USA
Ambrosio Toval Alvarez; Universidad de Murcia; Spain
Erik Arisholm; Simula Research Laboratory; Norway
Colin Atkinson; University of Mannheim; Germany
Thomas Baar; EPFL; Switzerland
Doo-Hwan Bae; KAIST; Korea
Antonia Bertolino; CNR (the Italian National Research Council); Italy
Jean-Michel Bruel; Universite de Pau; France
Christian Bunse; Fraunhofer IESE; Germany
Alessandra Cavarra; Oxford University; UK
Betty H.C. Cheng; Michigan State University; USA
Steve Cook; Microsoft Corporation; UK
Stephane Ducasse; Universitaet Bern; Switzerland
Gregor Engels; University of Paderborn; Germany
Sudipto Ghosh; Colorado State University; USA
Martin Gogolla; Universitaet Bremen; Germany
Hassan Gomaa; George Mason University; USA
Jean Hartmann; Microsoft; USA
Hong Mei; Peking University; China
Heinrich Hussmann; University of Munich; Germany
Ashish Jain; Telcordia Technologies; USA
Jean-Marc Jezequel; IRISA; France
Philippe Kruchten; University of British Columbia; Canada
Yvan Labiche; Carleton University; Canada
Timothy C. Lethbridge; University of Ottawa; Canada
Jonathan I. Maletic; Kent State University; USA
Tom Mens; Universite de Mons-Hainaut; Belgique
Richard Mitchell; InferData Ltd; UK
Ana Moreira; Universidade Nova de Lisboa; Portugal
Pierre-Alain Muller; University of Haute Alsace; France
Oscar Nierstrasz; University of Berne; Switzerland
Ivan Porres; Abo Akademi University; Finland
Alexander Pretschner; ETH; Switzerland
Kerry Raymond; University of Queensland; Australia
Gianna Reggio; Universita di Genova; Italy
Jaffar-Ur Rehman; Mohammad Ali Jinnah University; Pakistan
Laurent Rioux; Thales Corp.; France
Bernhard Rumpe; Technische Universitaet Braunschweig; Germany
Peter H. Schmitt; Universitaet Karlsruhe; Germany
Andy Schuerr; Darmstadt University of Technology; Germany
Mark Schulte; Boeing; USA
Bran Selic; IBM Rational Software; Canada
Liu Shaoying; Hosei University; Japan
Perdita Stevens; University of Edinburgh; UK
Tong Sun; Xerox Corp; USA
Francois Terrier; CEA; France
Jos Warmer; Ordina; Netherlands
Ben Watson; Lockheed Martin Aeronautics; USA
Thomas Weigert; Motorola; USA
Jon Whittle; George Mason University; USA
