Gabriela Beatriz Arévalo; LIFIA - Universidad Nacional de La Plata; Argentina
Colin Atkinson; University of Mannheim; Germany
Thomas Baar; Ecole Polytechnique Fédéral de Lausanne; Switzerland
Paul Baker; Motorola Labs; UK
Antonia Bertolino; ISTI-CNR; Italy
Jean Bézivin; ATLAS Group (INRIA & LINA); France
Francis Bordeleau; Zeligsoft; Canada
Lionel Briand; Simula Research Labs; Norway
Shigeru Chiba; Tokyo Institute of Technology; Japan
Siobhán Clarke; Trinity College Dublin; Ireland
Pascal Costanza; Vrije Universiteit brussel; Belgium
Krzysztof Czarnecki; University of Waterloo; Canada
Serge Demeyer; University of Antwerp; Belgium
Christophe Dony; Montpellier-II University; LIRMM Lab; France
Stéphane Ducasse; LISTIC - Université de Savoie; France
Gregor Engels; University of Paderborn; Germany
Jean-Marie Favre; University of Grenoble; France
Harald Gall; University of Zurich; Switzerland
Geri Georg; Colorado State University; USA
Sudipto Ghosh; Colorado State University; USA
Martin Gogolla; University of Bremen; Germany
Hassan Gomaa; George Mason U; USA
Susanne Graf; Verimag; France
Øystein Haugen; University of Oslo; Norway
Robert Hirschfeld; DoCoMo Euro-Labs; Germany
Seongsoo Hong; Seoul National University; Korea
Paola Inverardi; Università dell'Aquila; Italy
Jean-Marc Jézéquel; IRISA (INRIA & Univ. Rennes 1); France
Jörg Kienzle; McGill University; Canada
Thomas Kühne; Darmstadt University of Technology; Germany
Michele Lanza; University of Lugano; Switzerland
Timothy C. Lethbridge; University of Ottawa; Canada
Radu Marinescu; Politehnica University of Timisoara; Romania
Tom Mens; University of Mons-Hainaut; Belgium
Hafedh Mili; University of Quebec at Montreal; Canada
Dragan Milicev; University of Belgrade; Serbia and Montenegro
Pierre-Alain Muller; IRISA/INRIA Rennes; France
Robert G. Pettit IV; The Aerospace Corporation; USA
Alexander Pretschner; ETH Zurich; Switzerland
Bernhard Rumpe; braunschweig University of Technology; Germany
Douglas C. Schmidt; Vanderbilt University; USA
Jean-Guy Schneider; Swinburne University of Technology; Australia
Bran Selic; IBM Canada; Canada
Juha-Pekka Tolvanen; MetaCase; Finland
Ellen Van Paesschen; Vrije Universiteit Brussel; Belgium
Alain Wegmann; EPFL; Switzerland
Thomas Weigert; Motorola; USA
Claudia Maria Lima Werner; Federal University of Rio de Janeiro; Brazil
Jon Whittle; George Mason University; USA
Clay E. Williams; IBM Watson Research Center; USA
Alan Cameron Wills; Microsoft; UK
