Joao Araujo; Universidade Nova de Lisboa; Portugal
Uwe Assmann; University of Dresden; Germany
Benoit Baudry; INRIA; France
Xavier Blanc; LIP6; France
Jean Bezivin; Universite de Nantes; France
Paulo Borba; Federal University of Pernambuco; Brazil
Lionel Briand; Simula Research Laboratory; Norway
Betty Cheng; Michigan State University; USA
Shigeru Chiba; Tokyo Institute of Technology; Japan
Krzysztof Czarnecki; University of Waterloo; Canada
Juergen Dingel; Queen's University; Canada
Gregor Engels; University of Paderborn; Germany
Alexander Egyed; Johannes Kepler University; Austria
Jean-Marie Favre; University of Grenoble; France
Bernhard Fischer; University of Southampton; UK
Robert France; Colorado State University; USA
Harald Gall; University of Zurich; Switzerland
Dragan Gasevic; Athabasca University; Canada
Geri Georg; Colorado State University; USA
Holger Giese; Hasso Plattner Institute; Germany
Tudor Girba; University of Bern; Switzerland
Martin Gogolla; University of Bremen; Germany
Aniruddha Gokhale; Vanderbilt University; USA
Orla Greevy; University of Bern; Switzerland
Paul Grunbacher; Johannes Kepler University; Austria
John Grundy; University of Auckland; New Zealand
Oystein Haugen; SINTEF; Norway
Simon Helsen; SAP; Germany
Robert Hirschfeld; Hasso-Plattner Institute; Germany
Heinrich Hussmann; LMU; Germany
Jean-Marc Jezequel; IRISA; France
Gabor Karsai; Vanderbilt University/ISIS; USA
Jana Koehler; IBM Zurich Research Laboratory; Switzerland
Rainer Koschke; Universitaet Bremen; Germany
Thomas Kuhne; Victoria University of Wellington; New Zealand
Vinay Kulkarni; Tata Consultancy Services; India
Jochen Kuster; IBM Zurich Research Laboratory; Switzerland
Ralf Lommel; University of Koblenz; Germany
Michele Lanza; University of Lugano; Switzerland
Michael Lawley; Queensland University of Technology; Australia
Timothy C. Lethbridge; University of Ottawa; Canada
Ed Merks; IBM; Canada
Birger Muller-Pedersen; University of Oslo; Norway
Ana Moreira; Universidade Nova de Lisboa; Portugal
Pierre-Alain Muller; Universite de Haute-Alsace; France
Richard Paige; University of York; United Kingdom
Alexander Pretschner; ETH Zurich; Switzerland
Gianna Reggio; Universite Di Genova; Italy
Bernhard Rumpe; University of Braunschweig; Germany
Andy Schurr; Technische Universitet Darmstadt; Germany
Bran Selic; Malina Software Corp.; Canada
Perdita Stevens; University of Edinburgh; UK
Eleni Stroulia; University of Alberta; Canada
Gabriele Taentzer; Philipps-Universitet Marburg; Germany
Juha-Pekka Tolvanen; MetaCase; Finland
Laurence Tratt; Bournemouth University; United Kingdom
Axel Uhl; SAP; Germany
Hans Vangheluwe; McGill University; Canada
Daniel Varro; Budapest University of Technology and Economics; Hungary
Eelco Visser; Delft University of Technology; The Netherlands
Markus Voelter; Independent consultant; Germany
Andrzej Wasowski; IT University of Copenhagen; Denmark
Thomas Weigert; Missouri University of Science and Technology; USA
Jon Whittle; Lancaster University; UK
