Aditya Agrawal; The Mathworks Inc.; USA
Egidio Astesiano; Universitá di Genova; Italy
Hernan Astudilo; Universidad Tecnica Federico Santa Maria; Chile
Balasubramanian Krishnakumar; The MathWorks Inc.; USA
Laurent Balmeli; IBM; Japan
Don Batory; University of Texas; USA
Benoit Baudry; INRIA; France
Jean Bézivin; Université de Nantes; INRIA; France
Xavier Blanc; LIP6; France
Ruth Breu; University of Innsbruck; Austria
Lionel Briand; Simula Research Lab and University of Oslo; Norway
Jean-Michel Bruel; Université de Toulouse; France
Tony Clark; Thames Valley University; UK
Krzysztof Czarnecki; University of Waterloo; Canada
Juan de Lara; Universidad Autónoma de Madrid; Spain
Jens Dietrich; Massey University; New Zealand
Juergen Dingel; Queen's University; Canada
Stephane Ducasse; INRIA Lille; France
Keith Duddy; Queensland University of Technology; Australia
Alexander Egyed; Johannes Kepler University; Austria
Gregor Engels; University of Paderborn; Germany
Jean-Marie Favre; University of Grenoble; France
Franck Fleurey; SINTEF; Norway
Robert B. France; Colorado State University; USA
David Frankel; SAP; USA
Lidia Fuentes; University of Malaga; Spain
Harald Gall; University of Zurich; Switzerland
Dragan Gasevic; Athabasca University; Canada
Geri Georg; Colorado State University; USA
Sébastien Gérard; CEA LIST; France
Holger Giese; Hasso Plattner Institute at the University of Potsdam; Germany
Tudor Gîrba; University of Bern; Switzerland
Martin Gogolla; University of Bremen; Germany
Susanne Graf; VERIMAG; France
Emanuel Grant; University of North-Dakota; USA
Jeff Gray; University of Alabama at Birmingham; USA
John Grundy; University of Auckland; New Zealand
Esther Guerra; Universidad Carlos III in Madrid; Spain
Jun Han; Swinburne University of Technology; Australia
Øystein Haugen; SINTEF; Norway
Zhenjiang Hu; National Institute of Informatics; Japan
Heinrich Hussmann; Universität München; Germany
Jan Jurjens; Open University and MSRC; UK
Audris Kalnins; University of Latvia; Latvia
Gerti Kappel; Vienna University of Technology; Austria
Gabor Karsai; Vanderbilt University; USA
Ingolf Krüger; UC San Diego; USA
Jochen Kuester; IBM Research; Switzerland
Thomas Kühne; Victoria University of Wellington; New Zealand
Ralf Laemmel; University of Koblenz-Landau; Germany
Michele Lanza; University of Lugano; Switzerland
Michaël Lawley; The Australian e-Health Research Centre; Australia
Timothy C. Lethbridge; University of Ottawa; Canada
Tom Maibaum; McMaster University; Canada
Tiziana Margaria; University of Potsdam; Germany
Radu Marinescu; Politehnica University of Timisoara; Romania
Dragan Milicev; University of Belgrade; Yugoslavia
Birger Møller-Pedersen; University of Oslo; Norway
Ana Moreira; Universidade Nova de Lisboa; Portugal
Pierre-Alain Muller; Université de Haute-Alsace; France
Ileana Ober; IRIT; France
Richard Paige; University of York; UK
Dorina C. Petriu; Carleton University; Canada
Alfonso Pierantonio; Università degli Studi dell´ Aquila; Italy
Claudia Pons; University of La Plata; Argentinia
Ivan Porres; Åbo Akademi University; Finland
Alexander Pretschner; Fraunhofer IESE and TU Kaiserslautern; Switzerland
Gianna Reggio; Università di Genova; Italy
Arend Rensink; University of Twente; The Netherlands
Bernhard Rumpe; TU Braunschweig; Germany
Bernhard Schätz; TU München; Germany
Andy Schürr; Technische Universität Darmstadt; Germany
Arnor Solberg; SINTEF; Norway
Bran Selic; Malina Software; Canada
Michał Smiałek; Warsaw University of Technology; Poland
Perdita Stevens; University of Edinburgh; UK
Harald Störrle; University of Munich; Germany
Juha-Pekka Tolvanen; MetaCase; Finland
Laurence Tratt; Bournemouth University; UK
Axel Uhl; SAP AG; Germany
Antonio Vallecillo; Universidad de Màlaga; Spain
Pieter Van Gorp; Technical University of Eindhoven; The Netherlands
Dániel Varró; Budapest University of Technology and Economics; Hungary
Eelco Visser; Technical University of Delft; The Netherlands
Andrzej Wasowski; IT University of Copenhagen; Denmark
Jon Whittle; Lancaster University; UK
Andreas Winter; Universiy of Koblenz-Landau; Germany
Robert Baillargeon; Panasonic Automotive Systems; USA
Francis Bordeleau; Canada
Murray Cantor; IBM Rational Software; USA
Tony Clark; Thames Valley University; UK
Diarmuid Corcoran; Ericsson AB; Sweden
Andy Evans; Xactium; UK
Geri Georg; Colorado State University; USA
Øystein Haugen; SINTEF; Norway
Steven Kelly; MetaCase; Finland
Jana Koehler; IBM Zurich Research Laboratory; Switzerland
Vinay Kulkarni; Tata Consultancy Services; India
Nikolai Mansourov; KDM Analytics; Canada
Stephen Mellor; UK
Ed Merks; itemis AG; Canada
Dragan Milicev; University of Belgrade; Serbia
Juan Carlos Molina; CARE Technologies; S.A.; Spain
Pierre-Alain Muller; Université de Haute-Alsace; France
Nicolas Rouquette; Jet Propulsion Laboratory; Caltech; USA
Ina Schieferdecker; Fraunhofer FOKUS; Germany
Richard Soley; Object Management Group; USA
Ingo Stürmer; Model Engineering Solutions GmbH; Germany
Francois Terrier; CEA-LIST; France
Laurence Tratt; Bournemouth University; UK
Markus Voelter; Voelter; Germany
Michael von der Beeck; BMW Group; Germany
Ben Watson; Lockheed Martin Corporation; USA
Thomas Weigert; Missouri University of Science and Technology; USA
Frank Weil; Hengsoft; USA
Jon Whittle; Lancaster University; UK
