Daniel Amyot; University of Ottawa; Canada
Krishnakumar Balasubramanian; The MathWorks Inc.; USA
Don Batory; University of Texas; USA
Benoit Baudry; INRIA; France
Behzad Bordbar; University of Birmingham; UK
Ruth Breu; University of Innsbruck; Austria
Lionel Briand; Simula Research Lab and University of Oslo; Norway
Jean-Michel Bruel; Université de Toulouse; France
Jordi Cabot; INRIA- Ecole des Mines de Nantes; France
Michel Chaudron; Leiden University; The Netherlands
Tony Clark; Middlesex University; UK
Vittorio Cortellessa; University of L'Aquila; Italy
Krzysztof Czarnecki; University of Waterloo; Canada
Juan de Lara; Universidad Autónoma de Madrid; Spain
Jens Dietrich; Massey University; New Zealand
Juergen Dingel; Queen's University; Canada
Stephane Ducasse; INRIA Lille; France
Keith Duddy; Queensland University of Technology; Australia
Gregor Engels; University of Paderborn; Germany
Franck Fleurey; SINTEF; Norway
Robert B. France; Colorado State University; USA
David Frankel; SAP; USA
Lidia Fuentes; University of Malaga; Spain
Dragan Gasevic; Athabasca University; Canada
Geri Georg; Colorado State University; USA
Sébastien Gérard; CEA LIST; France
Sudipto Ghosh; Colorado State University; USA
Holger Giese; Hasso Plattner Institute at the University of Potsdam; Germany
Tudor Gîrba; University of Bern; Switzerland
Martin Gogolla; University of Bremen; Germany
Susanne Graf; VERIMAG; France
Vincenzo Grassi; University of Roma "Tor Vergata"; Italy
Jeff Gray; University of Alabama; USA
John Grundy; Swinburne University of Technology; Australia
Esther Guerra; Universidad Carlos III in Madrid; Spain
Jun Han; Swinburne University of Technology; Australia
Øystein Haugen; SINTEF; Norway
Zhenjiang Hu; National Institute of Informatics; Japan
Heinrich Hussmann; Universität München; Germany
Paola Inverardi; University of L'Aquila; Italy
Jan Jürjens; TU Dortmund and Fraunhofer ISST; Germany
Audris Kalnins; University of Latvia; Latvia
Gerti Kappel; Vienna University of Technology; Austria
Gabor Karsai; Vanderbilt University; USA
Jörg Kienzle; McGill University; Montreal; Canada
Ingolf Krüger; UC San Diego; USA
Jochen Küster; IBM Research - Zürich; Switzerland
Thomas Kühne; Victoria University of Wellington; New Zealand
Yvan Labiche; Carleton University; Canada
Ralf Laemmel; University of Koblenz-Landau; Germany
Michaël Lawley; CSIRO Australian e-Health Research Centre; Australia
Timothy C. Lethbridge; University of Ottawa; Canada
Tom Maibaum; McMaster University; Canada
Radu Marinescu; Universitatea Politehnica Timisoara; Romania
Dragan Milicev; University of Belgrad; Yugoslavia
Birger Møller-Pedersen; University of Oslo; Norway
Ana Moreira; Universidade Nova de Lisboa; Portugal
Pierre-Alain Muller; Université de Haute-Alsace; France
Ileana Ober; IRIT; France
Iulian Ober; Institut de Recherche en Informatique de Toulouse; France
Richard Paige; University of York; UK
Robert Pettit; The Aerospace Corporation; USA
Alfonso Pierantonio; Università degli Studi dell´ Aquila; Italy
Claudia Pons; University of La Plata; Argentinia
Ivan Porres; Åbo Akademi University; Finland
Gianna Reggio; Università di Genova; Italy
Arend Rensink; University of Twente; The Netherlands
Ralf Reussner; Karlsruhe Institute of Technology; KIT; Germany
Bernhard Rumpe; RWTH Aachen University; Germany
Bernhard Schätz; TU München; Germany
Andy Schürr; Technische Universität Darmstadt; Germany
Bran Selic; Malina Software; Canada
Michał Śmiałek; Warsaw University of Technology; Poland
Arnor Solberg; SINTEF; Norway
Perdita Stevens; University of Edinburgh; UK
Paul Strooper; The University of Queensland; Australia
Tarja Systä; Tampere University of Technology; Finland
Gabriele Taentzer; Philipps-Universität Marburg; Germany
Juha-Pekka Tolvanen; MetaCase; Finland
Laurence Tratt; Bournemouth University; UK
Antonio Vallecillo; Universidad de Málaga; Spain
Dániel Varró; Budapest University of Technology and Economics; Hungary
Eelco Visser; Technical University of Delft; The Netherlands
Andrzej Wasowski; IT University of Copenhagen; Denmark
Jon Whittle; Lancaster University; UK
Andreas Winter; Carl von Ossietzky University; Germany
Patrick Albert; IBM; France
Robert Baillargeon; Panasonic Automotive Systems; USA
Edward Barkmeyer; National Institute of Standards & Technology; USA
Mariano Belaunde; Orange Labs; France
Rao G Bhaskar; Motorola; India
Behzad Bordbar; University of Birmingham; UK
Francis Bordeleau; Canada
Tony Clark; Middlesex University; UK
Diarmuid Corcoran; Ericsson AB; Sweden
Rik Eshuis; Eindhoven University of Technology; Netherlands
Huascar Espinoza; European Software Institute; Spain
Andy Evans; Xactium; UK
Peter Fritzson; Linkoping University; Sweden
Geri Georg; Colorado State University; USA
Øystein Haugen; SINTEF; Norway
Kenn Hussey; Independent Consultant; Canada
Narendra Jussien; Ecole des Mines de Nantes; France
Steven Kelly; MetaCase; Finland
Jana Koehler; IBM Zurich Research Laboratory; Switzerland
Vinay Kulkarni; Tata Consultancy Services; India
Nikolai Mansourov; KDM Analytics; Canada
Stephen Mellor; UK
Ed Merks; itemis AG; Canada
Dragan Milicev; University of Belgrade; Serbia
Hiroshi Miyazaki; Fujitsu; Japan
Juan Carlos Molina Udaeta; CARE Technologies; S.A.; Spain
Pierre-Alain Muller; Université de Haute-Alsace; France
Syed Salman Qadri; The Mathworks; Inc.; USA
Nicolas Rouquette; Jet Propulsion Laboratory; Caltech; USA
Ina Schieferdecker; TU Berlin/Fraunhofer FOKUS; Germany
Bran Selic; Canada
Richard Soley; Object Management Group; USA
Ingo Stürmer; Model Engineering Solutions GmbH; Germany
Jun Sun; National University of Singapore; Singapore
Francois Terrier; CEA-LIST; France
Laurence Tratt; Bournemouth University; UK
Markus Voelter; Voelter; Germany
Michael von der Beeck; BMW Group; Germany
Thomas Weigert; Missouri University of Science and Technology; USA
Frank Weil; Hengsoft; USA
Jon Whittle; Lancaster University; UK
Ed Willink; Thales Research and Technology Ltd; UK
