Daniel Amyot; University of Ottawa/CANADA
Don Batory; University of Texas at Austin/USA
Benoit Baudry; INRIA/FRANCE  
Xavier Blanc; Université Bordeaux 1/FRANCE  
Jean-Michel Bruel; IRIT/FRANCE     
Jordi Cabot; École des Mines de Nantes/INRIA/FRANCE  
Alessandra Cavarra; University of Oxford/UK
Michel Chaudron; Leiden University; LIACS/NETHERLANDS
Siobhan Clarke; Trinity College Dublin/IRELAND
Vittorio Cortellessa; Università dell'Aquila/ITALY
Krzysztof Czarnecki; University of Waterloo/CANADA
Jürgen Dingel; Queen's University/CANADA
Alexander Egyed; Johannes Kepler University/AUSTRIA
Gregor Engels; University of Paderborn/GERMANY
Rik Eshuis; Eindhoven University of Technology/NETHERLANDS
Alessandro Garcia; PUC-Rio/BRAZIL
Holger Giese; University of Potsdam/GERMANY
Sébastien Gérard; CEA List/FRANCE  
Sudipto Ghosh; Colorado State University/USA
Jeff Gray; University of Alabama/USA
Brian Henderson-Sellers; University of Technology Sydney/AUSTRIALIA
Zhenjiang Hu; National Institute of Informatics/JAPAN
Heinrich Hussmann; Ludwig-Maximilians-Universität München/GERMANY
Paola Inverardi; Università dell'Aquila/ITALY
Gerti Kappel; Vienna University of Technology/AUSTRIA
Gabor Karsai; Vanderbilt University; USA
Alexander Knapp; University of Augsburg/GERMANY
Ingolf Krüger; University of California-San Diego/USA
Thomas Kühne; Victoria University of Wellington/NEW ZEALAND
Yvan Labiche; Carleton University/CANADA
Philippe Lahire; University of Nice/FRANCE  
Kevin Lano; King's College/UK
Hong Mei; Peking University/CHINA
Dragan Milicev; University of Belgrade/SERBIA
Raffaela Mirandola; Politecnico di Milano/ITALY
Ana Moreira; Universidade Nova de Lisboa/PORTUGAL
Pierre-Alain Muller; University of Haute-Alsace/FRANCE  
Ileana Ober; IRIT/Université de Toulouse/FRANCE  
Richard Paige; University of York/UK
Dorina Petriu; Carleton University/CANADA
Alfonso Pierantonio; Università dell'Aquila/ITALY
Alexander Pretschner; Karlsruhe Institute of Technology/GERMANY
Gianna Reggio; University of Genoa/ITALY
Andy Schürr; Technische Universität Darmstadt/GERMANY
Arnor Solberg; SINTEF/NORWAY
Jim Steel; University of Queensland/AUSTRALIA
Gabriele Taentzer; Philipps-Universität Marburg/GERMANY
Antonio Vallecillo; Universidad de Malaga/SPAIN
Hans Vangheluwe; University of Antwerp/BELGIUM; McGill University/CANADA
Dániel Varró; Budapest University of Technology and Economics/HUNGARY
Michael Whalen; University of Minnesota/USA
Jon Whittle; Lancaster University/UK
Andrea Zisman; City University/UK
Steffen Zschaler; King's College London/UK
Alfred Aue; Cap Gemini/GERMANY
Robert Baillargeon; Sodius/USA
Balbir Barn; Middlesex University/UK
Klaus Beetz; EIT ICT Labs/GERMANY
Nelly Bencomo; INRIA/FRANCE
Brian Berenbach; Siemens Corporate Research/USA
Bezhad Bordbar; University of Birmingham/UK
Rudolf Haggenmueller; ITEA/GERMANY
Oystein Haugen; SINTEF/NORWAY
Pavel Hruby; CSC/DENMARK
Cornel Klein; Siemens/GERMANY
Georg Kreuch; ATOS/AUSTRIA
Vinay Kulkarni; Tata Consultancy Services/INDIA
Thomas Mayerdorfer; Siemens/AUSTRIA
Stephen J. Mellor; Independent Consultant/UK
Dan Paulish; SCR/USA
Isabelle Perseil; INSERM/FRANCE
Rob Pettit; The Aerospace Corp./USA
Bernhard Schätz; Technical University of Munich/GERMANY
Wolfram Schulte; Microsoft/USA
Sebastin Thoma; ATOS/GERMANY
Juha-Pekka Tolvanen; MetaCase/FINLAND
Laurence Tratt; King's College/UK
Michael von der Beeck; BMW Group/GERMANY
Frank Weil; UniqueSoft/USA
