Fabio Costa; Universidad Federal Goiás; Brazil
Eugene Syriani; University of Alabama; USA
Siobhán Clarke; Trinity College; Ireland
Benoit Combemale; University of Rennes 1; France
Keith Duddy; Queensland University of Technology; Australia;
Alessandro Garcia; Pontifical Catholic University of Rio de Janeiro; Brazil
Jonathan Sprinkle; University of Arizona; USA
Pieter Van Gorp; University of Technology of Eindhoven; The Netherlands
Manuel Wimmer; Technical University of Wien; Austria
Yan Liu; Concordia University; Canada
Steffen Zschaler; Kings College; UK
Benoit Baudry; INRIA; France
Javier Canovas Izquierdo; Ecole des Mines de Nantes; France
Dimitrios Kolovos; University of York; UK
Juha-Pekka Tolvanen; Metacase; Finland
Markus Voelter; independent/itemis; Germany
Adam Wynne; Pacific Northwest National Laboratory; USA
Xiwei Xu; National ICT Australia; Australia
Sudipto Ghosh; Colorado State University; USA
Benoit Baudry; INRIA/IRISA; France
Brice Morin; SINTEF ICT; Norway
Daniel Varro; Budapest University of Tech. and Economics; Hungary
Rob Pettit; The Aerospace Corporation; USA
Richard Paige; University of York; UK
Frank Weil; UniqueSoft; LLC; USA
Ethan Jackson; Microsoft Research; USA
Davide Di Ruscio; University of L'Aquila; Italy
Marco Brambilla; Politecnico di Milano; Italy
Jordi Cabot; INRIA/École des Mines de Nantes; France
Antonio Cicchetti; Mälardalen University; IDT; Sweden
Juergen Dingel; Queen's University; Canada
Gregor Engels; University of Paderborn; Germany
Richard Paige; University of York; UK
Alfonso Pierantonio; University of L'Aquila; Italy
Eugene Syriani; University of Alabama; USA
Janos Sztipanovits; Vanderbilt University; USA
Manuel Wimmer; Vienna University of Technology; Austria
Vadim Zaytsev; Centrum Wiskunde & Informatica (CWI); NL
Tim Lethbridge; University of Ottawa; Canada
Perdita Stevens; University of Edinburgh; UK
Jocelyn Armarego; Murdoch University; Australia
Pierre Bourque; ETS Montreal; Canada
Marsha Chechik; University of Toronto; Canada
Dan Chiorean; Universitatea Babes-Bolyai; Romania
Peter J. Clarke; Florida International University; USA
Benoit Combemale; University of Rennes; France
Jim Davies; University of Oxford; UK
Martin Gogolla; University of Bremen; Germany
Gerti Kappel; Vienna University of Technology; Austria
Martina Seidl; Johannes Kepler University of Linz; Austria
Bran Selic; Malina Software Corporation; Canada
Ven Yu Sien; HELP University College; Malaysia
Yingfei Xiong; Peking University; China
Martin Gogolla; University of Bremen; Germany
Mohammad Chami; University of Applied Sciences Weingarten; Germany
Michalis Famelis; University of Toronto; Canada
Thomas Kistel; University of Applied Sciences Wildau; Germany
Stefan Mijatov; Vienna University of Technology; Austria
Wuliang Sun; Colorado State University; USA
Robert Walter; University of Duisburg; Germany
Sean Whitsitt; University of Arizona; USA
Karolina Zurowska; Queens University; Canada
