Daniel Amyot; University of Ottawa; Canada
João Araújo; University of Lisbon; Portugal
Mira Balaban; Ben-Gurion University; Israel
Benoit Baudry; INRIA; France
Nelly Bencomo; Aston University; United Kingdom
Xavier Blanc; LABRI; France
Ruth Breu; University of Innsbruck; Austria
Jordi Cabot; Ecole des Mines de Nantes / INRIA; France
Michel Chaudron; Dept of CS of Chalmers and Gothenburg University; Sweden
Marsha ChechikUniversity of Toronto; Canada
Siobhan Clarke; Trinity College Dublin; Ireland
Juan de Lara; Universidad Autonoma de Madrid; Spain
Zinovy Diskin; McMaster University and University of Waterloo; Canada
Alexander Egyed; Johannes Kepler University; Austria
Rik Eshuis; Eindhoven University of Technology;The Netherlands
Lidia Fuentes; Universidad de Malaga; Spain
Alessandro Garcia; PUC-Rio; Brazil
Sebastien Gerard; CEA List; France
Holger Giese; Hasso Plattner Institute at the University of Potsdam;Germany
Jeff Gray; University of Alabama; USA
John Grundy; Swinburne University of Technology; Australia
Reiko Heckel; University of Leicester; United Kingdom
Constance Heitmeyer; Naval Research Laboratory; USA
Peter Herrmann; Norwegian University of Science and Technology ; Norway 
James Hill; Indiana University-Purdue University Indianapolis; USA
Zhenjiang Hu;  National Institute of Informatics; Japan
Ferhat Khendek; Concordia University; Canada
Joerg Kienzle; McGill University; Canada
Thomas Kuehne; Victoria University of Wellington; New Zealand
Yvan Labiche; Carleton University; Canada
Yves le Traon; University of Luxembourg;Luxembourg
Tim Lethbridge; University of Ottawa; Canada
Frederic Mallet; Univ; Nice Sophia Antipolis - I3S/INRIA; France
Shahar Maoz; Tel Aviv University; Israel
Hong Mei; Peking University; China
Dragan Milicev; University of Belgrade; Serbia
Raffaela Mirandola; Politecnico di Milano; Italy
Henry Muccini; University of L'Aquila; Italy
Shiva Nejati; SnT Centre; University of Luxembourg; Luxembourg
Ileana Ober; IRIT Universite de Toulouse; France
Alfonso Pierantonio; University of L'Aquila Italy
Gianna Reggio; University of Genova; Italy
Bernhard Rumpe; RWTH Aachen University; Germany
Ina Schaefer; Technische Universität Braunschweig; Germany
Friedrich Steimann; Fernuniversitaet in Hagen; Germany
Gabriele Taentzer; Philipps-Universitaet Marburg; Germany
Stavros Tripakis University of California; Berkeley; USA
Antonio Vallecillo;  Universidad de Málaga ; Spain
Dániel Varró; Budapest University of Technology and Economics; Hungary
Andrzej Wasowski; IT University of Copenhagen; Denmark
Mike Whalen; University of Minnesota; USA
Tao Yue; Simula Research Laboratory; Norway
Steffen Zschaler; King's College London; United Kingdom
