Silvia Abrahão; Universidad Politecnica de Valencia; Spain
Shaukat Ali; Simula Research Laboratory; Norway
João Araújo; Universidad Nova de Lisboa; Portugal
Uwe Assmann; Technische Universität Dresden; Germany
Colin Atkinson; University of Mannheim; Germany
Nelly Bencomo; Aston University; UK
Arnaud Blouin; INSA Rennes; France
Lionel Briand; University of Luxembourg; Luxembourg
Manfred Broy; Technische Universität München; Germany
Jean-Michel Bruel; University of Toulouse; France
Walter Cazzola; Universita degli Studi di Milano; Italy
Michel Chaudron; Dept of CS of Chalmers and Gothenburg University; Sweden
Tony Clark; Sheffield Hallam University; UK
Peter Clarke; Florida International University; USA
Philippe Collet; University of Nice; France
Krzysztof Czarnecki; University of Waterloo; Canada
Fabiano Dalpiaz; Utrecht University; The Netherlands
Julien DeAntoni; Polytech Nice; France
Juergen Dingel; Queens University; Canada
Zinovy Diskin; McMaster University and University of Waterloo; Canada
Neil Ernst; Software Engineering Institute; CMU; USA
Alessandro Garcia; PUC-Rio; Brazil
Geri Georg; Colorado State University; USA
Holger Giese; Hasso Plattner Institute at the University of Potsdam; Germany
Martin Gogolla; Universität Bremen; Germany
Joel Greenyer; Leibniz Universität Hannover; Germany
Giancarlo Guizzardi; Federal University of Espirito Santo; Brazel
Stefan Hanenberg; Universität Duisburg-Essen; Germany
Reiko Heckel; University of Leicester; UK
Peter Herrmann; Norwegian University of Science and Technology; Norway
Zhenjiang Hu; National Institute of Informatics; Japan
Marouane Kessentini; University of Michigan; USA
Ferhat Khendek; Concordia University; Canada
Jacques Klein; University of Luxembourg; Luxembourg
Juan De Lara; Universidad Autonoma de Madrid; Spain
Henry Muccini; University of L’Aquila; Italy
Gunter Mussbacher; McGill University; Canada
Ileana Ober; IRIT Universite de Toulouse; France
Richard Paige; University of York; UK
Dorina Petriu; Carleton University; Canada
Arend Rensink; University of Twente; The Netherlands
Julia Rubin; MIT; USA
Bernhard Rumpe; RWTH Aachen University; Germany
Ina Schaefer; Technische Universität Braunschweig; Germany
Arnor Solberg; SINTEF; Norway
Perdita Stevens; University of Edinburgh; UK
Eugene Syriani; Université de Montréal; Canada
Andrzej Wasowski; IT University of Copenhagen; Denmark
Jon Whittle; University of Lancaster; UK
Manuel Wimmer; Technische Universität Wien; Austria
Steffen Zschaler; King’s College London; UK
Achim Brucker; University of Sheffield; UK
Andreas Schmied; CapGemini; Germany
Harald Ruess; fortiss; Germany
Hardi Hungar; OFFIS; Germany
Heiko Koziolek; ABB Corporate Research; Germany
Jan Philipps; validas AG; Germany
Jörg Dörr; Fraunhofer IESE; Germany
Maged Elaasar; Jet Propulsion Laboratory; United States
Mike Whalen; University of Minnesota; USA
Oystein Haugen; Norway
Ralf Reussner; Germany
Rance Cleaveland; University of Maryland; USA
Robert Baillargeon; MethodPark; United States
Robert Eschbach; KSB; Germany
Salvador Trujillo; Ikerlan; Spain
Tao Yue; Simula Research Laboratory; Norway
