Annie I. Anton; North Carolina State University; USA
Joanne Atlee; University of Waterloo; CAN
John Boddie; DMR/Amdahl; USA
Karin Breitman; PUC-Rio; Brazil
Eric Byrne; Telcordia Technologies; USA
Jack Callahan; West Virginia University; USA
Dwight Colby; Secure Computing Corp; USA
John Dobson; University of Newcastle upon Tyne; UK
Janet Drake; University of Northern Iowa; USA
Steve Easterbrook; University of Toronto; CAN
Martin Feather; Jet Propulsion Lab; USA
Marilyn Gaska; Lockheed Martin Fed Systems; USA
Don Gause; Savile Row; LLC; USA
Paul Grabow; Baylor University; USA
Sol Greenspan; GTE Laboratories; USA
Constance Heitmeyer; Naval Research Lab; USA
Lalita Jagadeesan; Bell Laboratories; USA
Robert Johnson; Coyote Valley Software; USA
Nader Kameli; Guidant Corp; USA
Robyn Lutz; Jet Propulsion Lab; USA
John Mylopoulos; University of Toronto; CAN
Bashar Nuseibeh; Imperial College; UK
Klaus Pohl; University of Essen; GER
Linda Rosenberg; NASA GSFC; USA
Kurt Stirewalt; Michigan State University; USA
Axel van Lamsweerde; University of Louvain; BEL
Frank Weil; Motorola; USA
Alan Yaung; IBM Corporation; USA
Greg Zelesnik; Evolutionary Systems; Inc.; USA
Didar Zowghi; JRCASE; Macquarie University; AUS
