Daniel Amyot; University of Ottawa; Canada
Annie Antón; North Carolina State University; USA
Mikio Aoyama; Nanzan University; Japan
Dan Berry; University of Waterloo; Canada
Travis Breaux; Carnegie Mellon University; USA
Sjaak Brinkkemper; Universiteit Utrecht; The Netherlands
Jaelson Castro; Universidade Federal de Pernambuco; Brazil
Marsha Chechik; University of Toronto; Canada
Ruzanna Chitchyan; Lancaster University; UK
Eric Dubois; Public Research Centre Henri Tudor; Luxembourg
Marlon Dumas; University of Tartu; Estonia
Anthony Finkelstein; University College London; UK
Xavier Franch; Universitat Politècnica de Catalunya; Spain
Don Gause; Binghamton University; USA
Vincenzo Gervasi; University of Pisa; Italy
Carlo Ghezzi; Politecnico di Milano; Italy
Martin Glinz; University of Zurich; Switzerland
Stefania Gnesi; ISTI; Pisa; Italy
Paul Gruenbacher; Johannes Kepler Universität; Austria
Connie Heitmeyer; Naval Research Laboratory; USA
Jane Huffman Hayes; University of Kentucky; USA
Daniel Jackson; Massachusetts Institute of Technology; USA
Michael Jackson; The Open University; UK
Jean-Pierre Jacquot; LORIA; Université Henri Poincaré; Nancy; France
Ivan Jureta; University of Namur; Belgium
Natalia Juristo; Universidad Politécnica de Madrid; Spain
Marjo Kauppinen; University of Helsinki; Finland
Kim Lauenroth; University of Duisburg-Essen; Germany
Axel van Lamsweerde; Université catholique de Louvain; Belgium
Seok-Won Lee; University of Nebraska; USA
Julio Leite; Pontifícia Universidade Católica do Rio de Janeiro; Brazil
Emmanuel Letier; University College of London; UK
Sotirios Liaskos,York University; Canada
Robyn Lutz; Iowa State University; USA
Neil Maiden; City University London; UK
Haris Mouratidis; University of East London; UK
Andreas L. Opdahl; University of Bergen; Norway
Barbara Paech; University of Heidelberg; Germany
Motoshi Saeki; Tokyo Institute of Technology; Japan
Camille Salinesi; Université Paris 1 - Sorbonne; France
Guttorm Sindre; University of Science and Technology; Trondheim; Norway
Alistair Sutcliffe; University of Manchester; UK
Jon Whittle; Lancaster University; UK
Eric Yu; University of Toronto; Canada
Yijun Yu; The Open University; UK
Jin Zhi; Beijing University; China
Didar Zowghi; University of Technology; Sydney; Australia
