Carina Alves; Universidade Federal de Pernambuco; Brazil
Daniel Amyot; University of Ottawa; Canada
Annie Anton; North Carolina State University; USA
Joao Araujo; Universidade Univerita Nova de Lisboa; Portugal
Luciano Baresi; Politecnico Di Milano; Italy
Daniel Berry; University of Waterloo; Canada
Sjaak Brinkkemper; Utrecht University; Netherlands
Benoit Baudry; IRISA; France
Jaelson Castro; Universidade Federal de Pernambuco; Brazil
Jane Cleland-Huang; DePaul University; USA
Marlon Dumas; University of Tartu; Estonia
Anthony Finkelstein; University College London; UK
Vincenzo Gervasi; University of Pisa; Italy
Carlo Ghezzi; Politecnico Di Milano; Italy
Martin Glinz; University of Zurich; Switzerland
Paul Grunbacher; Johannes Kepler University; Austria
Will Heaven; Independent researcher/consultant; UK
Jean-Pierre Jacquot; Loria; France
Ivan Jureta; University of Namur; Belgium
Natalia Jursto; Universidad Politecnica de Madrid; Spain
Kim Lauenroth; Adesso AG; Germany
Seok-Won Lee; Ajou University; Republic of Korea
Julio Leite; Pontificia Universidade Catolica do Rio de Janeiro; Brazil
Emmanuel Letier; University College London; UK
Lin Liu; Tsinghua University; China
Neil Maiden; City University; UK
Walid Maalej; Technische Universitat Munchen; Germany
Ana Moreira; Universidade Nova de Lisboa; Portugal
Gunter Mussbacher; Carleton University; Canada
John Mylopoulos; University of Trento; Italy
Cornelius Ncube; Bournemouth University; UK
Barbara Paech; University of Heidelberg; Germany
Anna Perini; University of Trento; Italy
Isabelle Perseil; INSERM; France
Klaus Pohl; University of Duisburg-Essen; Germany
Norah Power; University of Limerick; Ireland
Bjorn Regnell; University of Lund; Sweden
William Robinson; Georgia State University; USA
Colette Rolland; Universite Paris 1 - Sorbonne; France
Motoshi Saeki; Tokyo Institute of Technology; Japan
Kurt Schneider; Leibniz Universitat Hannover; Germany
Norbert Seyff; University of Zurich; Switzerland
Guttorm Sindre; Norwegian University of Science and Technology; Norway
Alistair Sutcliffe; University of Manchester; UK
Tetsuo Tamai; University of Tokyo; Japan
Axel van Lamsweerde; Universite catholique de Louvain; Belgium
Jon Whittle; Lancaster University; UK
Yijun Yu; The Open University; UK
Didar Zowghi; University of Technology Sydney; Australia
