Carina Alves; Universidade Federal de Pernambuco; Brasil
Daniel Amyot; University of Ottawa; Canada
Annie Antón; Georgia Institute of Technology; USA
Simone D.J. Barbosa; PUC-Rio; Brasil
Daniel Berry; University of Waterloo; Canada
Jaelson Castro; Universidade Federal de Pernambuco; Brasil
Lawrence Chung; University of Texas at Dallas; USA
Maya	Daneva; University of Twente; The Netherlands
Anthony Finkelstein; University College London; UK
Samuel A. Fricker; Blekinge Institute of Technology; Sweden
Donald Gause; Binghamton University; State University of New York; USA
Carlo Ghezzi; Politecnico di Milano; Italy
Martin Glinz; University of Zurich; Switzerland
Paul	Grünbacher; Johannes Kepler University Linz; Austria
Jennifer	Horkoff; University of Trento; Italy
Ivan	Jureta; University of Namur; Belgium
Natalia	Juristo; Universidad Politecnica de Madrid; Spain
Seok-Won	Lee; Ajou University; Republic of Korea
Sotirios	Liaskos; York University; Canada
Lin Liu; Tsinghua University,	China
Patrick Mäder; Technische Universität Ilmenau; Germany
Neil	Maiden; City University London; UK
Ana Moreira; Universidade Nova de Lisboa; Portugal
Gunter Mussbacher; Carleton University; Canada
John	Mylopoulos; University of Trento; Italy
Cornelius Ncube; Bournemouth University; UK
Uolevi Nikula; Lappeenranta University of Technology; Finland
Nan Niu; Mississippi State University; USA
Barbara Paech; University of Heidelberg; Germany
Oscar Pastor; Universitat Politecnica de Valencia; Spain
Birgit Penzenstadler; Technische Universität München; Germany
Anna	Perini; FBK Center for Information Technology - IRST; Italy
Klaus Pohl; University of Duisburg - Essen; Germany
Bjorn Regnell; Lund University; Sweden
William	Robinson; Georgia State University; USA
Colette Rolland; Universite Paris 1 - Sorbonne; France
Kurt	Schneider; Leibniz Universität Hannover; Germany
Norbert Seyff; University of Zurich; Switzerland
Carla Silva; Universidade Federal de Pernambuco; Brasil
Guttorm Sindre; Norwegian University of Science & Technology; Norway
Alistair	Sutcliffe; University of Manchester; UK
Tetsuo Tamai; Hose University; Japan
Sebastian Uchitel; Universidad de Buenos Aires & Imperial College London; Argentina & UK
Axel	Van Lamsweerde; Universite Catholique de Louvain; Belgium
Roel	Wieringa; University of Twente,	The Netherlands
Jon Whittle; Lancaster University; UK
Yijun Yu; The Open University; UK
Andrea Zisman; City University London; UK
Didar Zowghi; University of Technology; Sydney; Australia
