Tibor Gyimothy; University of Szeged; Hungary
Martin Pinzger; University of Klagenfurt; Austria
Giuseppe Scanniello;  University of Basilicata; Italy
Daqing Hou; Clarkson University; USA
Zheng Li; Bejing University of Chemical Technology; China
Klaus Schmid; University of Hildesheim; Germany
Marco Gerosa; IME - USP; Brazil
Andy Zaidman; Delft University of Technology; The Netherlands
Huzefa Kagdi; Wichita State University; USA
Harald Gall; University of Zurich; Switzerland
Emily Hill; Montclair State University; USA
Tom Mens; University of Mons; Belgium
Reid Holmes; University of Waterloo; Canada
Rocco Oliveto; University of Molise; Italy
Bram Adams; École Polytechnique de Montréal; Canada
Mariano Ceccato; Fondazione Bruno Kessler; Italy
Nikolaos Tsantalis; Concordia University; Canada
Andrea De Lucia; University of Salerno; Italy
Dawn Lawrie; Loyola University Maryland; USA
Francesca Arcelli Fontana; University of Milano Bicocca; Italy
Andrian Marcus; Wayne State University; USA
Alexander Chatzigeorgiou; University of Macedonia; Greece
Alessandro Marchetto; Fiat Research Center; Italy
Rudolf Ferenc; University of Szeged; Hungary
Rafael Capilla; Universidad Rey Juan Carlos; Spain
Romain Robbes; University of Chile; Chile
Holger Kienle; Mälardalen University; Sweden
Jens Knodel; Fraunhofer IESE; Germany
Mark Harman; University College London; UK
Lingxiao Jiang; Singapore Management University; Singapore
Foutse Khomh Queen's University; Canada
Mircea Lungu; University of Bern; Germany
Chanchal Roy; University of Saskatchewan; Canada
Gabriele Bavota; University of Salerno; Italy
Laurence Duchien; INRIA Lille; France
Árpád Beszédes; University of Szeged; Hungary
Anthony Cleve; University of Namur; Belgium
Zhang Hongyu; Tsinghua University; China
Massimiliano Di Penta; University of Sannio; Italy
Hausi A. Muller; University of Victoria; Canada
Yasutaka Kamei; Kyushu University; Japan
Harry Sneed; Universities of Budapest; Passau and Regensburg; Germany
Alberto Bacchelli; Delft University of Technology; The Netherlands
Thomas Dean; Queens University; Canada
Jianjun Zhao; School of Software; Shanghai Jiao Tong University; China
Jürgen Ebert; University of Koblenz-Landau; Germany
Collin McMillan; University of Notre Dame; USA
Xavier Blanc; Bordeaux 1 University; France
Ralf Laemmel; Universität Koblenz-Landau; Germany
Toshihiro Kamiya; Future University Hakodate; Japan
Mircea Trifu; FZI Forschungszentrum Informatik
Michael Collard; University of Akron; USA
Radu Marinescu; Politehnica University of Timisoara; Romania
Dalila Tamzalit; University of Nantes; France
Marco Torchiano; Politecnico di Torino; Italy
Yijun Yu; The Open University; UK
Ragnhild Van Der Straeten; Vrije Universiteit Brussel; Belgium
Zhenchang Xing; Nanyang Technological University; Singapore
Jesus M. Gonzalez-Barahona; Universidad Rey Juan Carlos; Spain
Abram Hindle; University of Alberta; Canada
Arie van Deursen; Delft University of Technology; The Netherlands
Andreas Winter; Carl von Ossietzky University; Germany
Marianne Huchard; Université Montpellier; France
Giuliano Antoniol; Ecole Polytechnique de Montréal; Canada
Jens Krinke; University College London; UK
Dirk Beyer; University of Passau; Germany
Thomas Fritz; University of Zurich; Switzerland
Rainer Koschke; University of Bremen; Germany
David Lo; Singapore Management University; Singapore
Grace Lewis; Carnegie Mellon Software Engineering Institute; USA
Spiros Mancoridis; Drexel University; USA
Tudor Girba; University of Bern; Switzerland
James Cordy; Queen's University; Canada
Joost Visser; Software Improvement Group; The Netherland
Juan C. Dueñas; Universidad Politécnica de Madrid; Spain
Florian Deissenboeck; Technische Universitaet Muenchen;Germany
Mark Van Den Brand; Eindhoven University of Technology; The Netherlands
Raghavan Komondoor; Indian Institute of Science; India
Dharmalingam Ganesan; Fraunhofer IESE; Germany
Denys Poshyvanyk; College of William and Mary; USA
Mark Grechanik; University of Illinois at Chicago; USA
Ira Baxter; Semantic Designs
Sonia Haiduc; Wayne State University; USA
Jonathan Maletic; Kent State University; USA
Jurgen Vinju; Centrum Wiskunde & Informatica; The Netherlands
