Katsuro Inoue; Osaka University
Yasutaka Kamei; Kyushu University
Michele Lanza; University of Lugano
Emad Shihab; Concordia University
Alberto Bacchelli; Delft University of Technology
Ashish Sureka; ABB India
Thomas Zimmerman; Microsoft Research
Sonia Haiduc; Florida State University
Yoshiki Higo; Osaka University
Serge Demeyer; University of Antwerp
Mike Godfrey; University of Waterloo
Bram Adams; École Polytechnique de Montréal
Haroon Malik; University of Waterloo
Francesca Arcelli Fontana; University of Milano Bicocca
Giuliano Antoniol; Ecole Polytechnique de Montréal
Gabriele Bavota; Free University of Bolzano-Bozen
Olga Baysal; Carleton University
Andrew Begel; Microsoft Research
Domenico Bianculli; SnT Centre - University of Luxembourg
Dave Binkley; Loyola University Maryland
Christian Bird; Microsoft Research
Anthony Cleve; Université de Namur
Michael Collard; The University of Akron
James R. Cordy; Queen's University
Marcus Denker; INRIA Lille
Massimiliano Di Penta; University of Sannio
Rudolf Ferenc; University of Szeged
Harald Gall; University of Zurich
Alessandro Garcia; Pontifícia Universidade Católica do Rio de Janeiro
Daniel German; Uniersity of Victoria
Marco Gerosa; University of São Paulo
Tudor Girba; University of Bern
Alessandra Gorla; IMDEA Software Institute
Georgios Gousios; Radboud Universiteit Nijmegen
Carmine Gravino; University of Salerno
Yann-Gaël Guéhéneuc; École Polytechnique de Montréal
Tibor Gyimothy; University of Szeged
Nils Göde; CQSE GmbH
Mark Harman; University college london
Shinpei Hayashi; Tokyo Institute of Technology
Abram Hindle; University of Alberta
Reid Holmes; University of Waterloo
Akinori Ihara; Nara Institute of Science and Technology
Foutse Khomh; École Polytechnique de Montréal
Dongsun Kim; University of Luxembourg
Sunghun Kim; The University of Hong Kong Science and Technology
Takashi Kobayashi; Tokyo Institute of Technology
Rainer Koschke; University of Bremen
David Lo; Singapore Management University
Walid Maalej; University of Hamburg
Jonathan Maletic; Kent State University
Andrian Marcus; The University of Texas at Dallas
Radu Marinescu; Politehnica University of Timisoara
Makoto Matsushita; Osaka University
Andrea Mocci; University of Lugano
Zhen Ming Jiang; York University
Hausi Müller; University of Victoria
Meiyappan Nagappan; Rochester Institute of Technology
Oscar Nierstrasz; SCG - University of Bern
Rocco Oliveto; University of Molise
Martin Pinzger; University of Klagenfurt
Denys Poshyvanyk; College of William and Mary
Filippo Ricca; University of Genova
Romain Robbes; University of Chile
Gregorio Robles; Universidad Rey Juan Carlos
Chanchal K. Roy; University of Saskatchewan
Federica Sarro; University College London
Giuseppe Scanniello; University of Basilicata;
Alexander Serebrenik; Eindhoven University of Technology
Lin Tan; University of Waterloo
Marco Tulio Valente; Universidade Federal de Minas Gerais
Jurgen Vinju; Centrum Wiskunde & Informatica
Jim Whitehead; University of California; Santa Cruz
Norihiro Yoshida; Nagoya University
Andy Zaidman; TU Delft
Hongyu Zhang; Microsoft Research
