Enrique Alba; University of Málaga; Spain
Giuliano Antoniol; École Polytechnique de Montréal; Canada
Andrea Arcuri; Simula Research Laboratory; Norway
Rami Bahsoon; University of Birmingham; UK
Marcio Barros; Uni. Federal do Estado do Rio de Janeiro; Brazil
Leonardo Bottaci; University of Hull; UK
Jeremy Bradbury; University of Ontario Inst. of Tech.; Canada
Francisco Chicano; University of Málaga; Spain
Betty Cheng; Michigan State University; USA
John Clark; University of York; UK
Vittorio Cortellessa; University of L'Aquila; Italy
Massimiliano Di Penta; University of Sannio; Italy
Robert Feldt; Chalmers University of Technology; Sweden
Yann-Gaël Guéhéneuc; École Polytechnique de Montréal; Canada
Gregory Kapfhammer; Allegheny College; Pennsylvania; USA
Mark Harman; University College London; UK
Rob Hierons; Brunel University; UK
Colin Johnson; University of Kent; UK
Yvan Labiche; Carleton University; Canada
Spiros Mancoridis; Drexel University; USA
Mark O'Keeffe; Amartus Ltd.; Ireland
Simon Poulding; University of York; UK
Xiao Qu; ABB Research; USA
Marek Reformat; University of Alberta; Canada
Marc Roper; University of Strathclyde; UK
Guenther Ruhe; University of Calgary; Canada
Jerffeson Souza; Universidade Estadual do Ceará; Brazil
Paolo Tonella; Fondazione Bruno Kessler - IRST; Italy
Laurence Tratt; Middlesex University; UK
Tanja Vos; Universidad Politecnica de Valencia; Spain
Joachim Wegener; Berner & Mattner; Germany
Tao Xie; North Carolina State University; USA
Shin Yoo; University College London; UK
Yuanyuan Zhang; University College London; UK
