Shaukat Ali; Simula Research Laboratory
Leonardo Bottaci; University of Hull
John Clark; University of York
Thelma Collanzi; Universidade Estadual de Maringá
Massimiliano Di Penta; University of Sannio
Arilo Dias-Neto; Universidade Federal do Amazonas
Robert Feldt; University of Blekinge
Gordon Fraser; University of Sheffield
Mathew Hall; University of Sheffield
Colin Johnson; University of Kent
Marouane Kessentini; University of Michigan
Fitsum Kifetew; Fondazione Bruno Kessler
Dongsun Kim; University of Luxembourg
Claire Le Goues; Carnegie Mellon University
Raluca Lefticaru; University of Bucharest
Zheng Li; Beijing University of Chemical Technology
Phil McMinn; University of Sheffield
Tim Menzies; North Carolina State University
Leandro Minku; University of Birmingham
Mel Ó Cinnéide; University College Dublin
Justna Petke; University College London
Pasqualina Potena; University of Alcalá
Simon Poulding; Blekinge Institute of Technology
Xiao Qu; ABB Corporate Research
Marc Roper; University of Strathclyde
Guenther Ruhe; University of Calgary
Chris Simon; University of the West of England
Jerffeson Souza; State University of Ceara
Angelo Susi; Fondazione Bruno Kessler – IRST
Jerry Swan; University of Stirling
Silvia Vergilio; Universidade Federal do Paraná
David White; University of Glasgow
Xin Yao; University of Birmingham
Yuanyaun Zhang; University College London
