Alessandra Gorla; IMDEA Software Institute
Andrea Arcuri; Scienta – University of Luxembourg
Arilo Dias-Neto; Federal University of Amazonas
Chris Simon; University of the West of England
Claire Le Goues; Carnegie Mellon University
Dongsun Kim; University of Luxembourg
Francisco Chicano; University of Málaga
Gregory Gay; University of South Carolina
Giuliano Antoniol; École Polytechnique de Montréal
Gordon Fraser; University of Sheffield
Houari A. Sahraoui; University of Montreal
Jerffeson Teixeira de Souza; State University of Ceara
Jerry Swan; University of York
John Clark; University of York
Juan Pablo Galeotti; University of Buenos Aires
Justyna Petke; University College London
Lars Grunske; University of Stuttgart
Marcio Barros ; Universidade Federal do Estado do Rio de Janeiro
Mark Harman; University College London
Marc Roper; University of Strathclyde
Myra Cohen; University of Nebraska
Nadia Alshahwan; J.P. Morgan
Paolo Tonella; Fondazione Bruno Kessler
Phil McMinn; University of Sheffield
Raluca Lefticaru; University of Bucharest
Shaukat Ali; Simula Research Laboratory
Shin Yoo; Korea Advanced Institute of Science and Technology
Tim Menzies; NC State University
Yuanyaun Zhang; University College London
Zheng Li; Beijing University of Chemical Technology
