Silvia Abrahao; Universidad Politecnica de Valencia; Spain
Muhammad Ali Barbar; Lero, University of Limerick; Ireland
Anneliese Amschler Andrews; University of Denver; USA
James Andrews; University of Western Ontario; Canada
Stefan Biffl; TU Vienna; Austria
Lionel Briand; Simula Research Laboratory; Norway
Luigi Buglione; Engineering.IT; Italy
Gerardo Canfora; University of Sannio; Italy
Jeff Carver; University of Alabama; USA
Marcus Ciolkowski; University of Kaiserslautern; Germany
Reidar Conradi; Norwegian University of Science and Technology; Norway
Tore Dyba; Sintef; Norway
Christof Ebert; Alcatel; France
Khaled El Emam; University of Ottawa; Canada
Hakan Erdogmus; NRC Institute for Information Technology; Canada
Marcela Genero; University of Castilla La Mancha; Spain
Tracy Hall; University of Hertfordshire; UK
Lorin Hochstein; University of Nebraska-Lincoln; USA
Martin Host; Lund University; Sweden
Frank Houdek; Daimlerchrysler; Germany
Andreas Jedlitschka; Fraunhofer IESE; Germany
Ross Jeffery; University of New South Wales; Australia
Philip Johnson; University of Hawaii; USA
Magne Jorgensen; Simula Research Laboratory; Norway
Natalia Juristo; Universidad Politecnica de Madrid; Spain
Shinji Kusumoto; Osaka University; Japan
Filippo Lanubile; University of Bari; Italy
Jose Carlos Maldonado; Universidade de Sao Paulo; Brazil
Kenichi Matsumoto; Nara Institute of Science and Technology; Japan
Emilia Mendes; University of Auckland; New Zealand
James Miller; University of Alberta; Canada
Audris Mockus; Avaya Labs Research; USA
Sandro Morasca; University degli Studi dell'Insubria; Italy
Maurizio Morisio; Politecnico di Torino; Italy
Nachi Nagappan; Microsoft; USA
Markku Oivo; University of Oulu; Finland
Dietmar Pfahl; Simula Research Laboratory & University of Oslo; Norway
Mario Piattini; University of Castilla La Mancha; Spain
Marc Roper; University of Strathclyde; UK
Guenther Ruhe; University of Calgary; Canada
Per Runeson; Lund University; Sweden
Sreedevi Sampath; University of Maryland, Baltimore; USA
Carolyn Seaman; University of Maryland, Baltimore; USA
Rick Selby; Northrop Grumman; USA
Martin Shepperd; Brunel University; UK
Forrest Shull; Fraunhofer Center, Maryland; USA
Janice Singer; National Research Council; Canada
Harvey Siy; University of Nebraska; USA
Dag Sjoberg; Simula Research Lababoratory; Norway
Arie Van Deursen; Delft University of Technology; Nethrelands
Sira Vegas; Universidad Politécnica de Madrid; Spain
June Verner; NICTA; Australia
Laurie Williams; North Carolina State University; USA
Claes Wohlin; Blekinge Institute of Technology; Sweden
