Pekka Abrahamsson; VTT Helsinki; Finland
Giuliano Antoniol; École Polytechnique de Montréal; Canada
Maria Teresa Baldassarre; University of Bari; Italy
Andrew Begel; Microsoft Research; USA
Ayse Bener; Bogazici University; Turkey
Stefan Biffl; Vienna University of Technology; Austria
Pearl Brereton; Keele University; UK
Lionel Briand; Simula Research Laboratory; Norway
Jeffrey Carver; University of Alabama; USA
Marcus Ciolkowski; Fraunhofer IESE; Germany
Daniela Soares Cruzes; Norwegian University of Science and Technology; Norway
Bojan Cukic; West Virginia University; USA
Tore Dybå; Sintef; Norway
Christof Ebert; Vector; Germany
Sebastian Elbaum; University of Nebraska - Lincoln; USA
Hakan Erdogmus; Kalemun Research Inc.; Canada
Davide Falessi; Simula Research Laboratory & University of Rome Tor Vergata; Italy
Pekka Forselius; Software Technology Transfer; Finland
Marcela Genero; University of Castilla-La Mancha; Spain
Mark Harman; University College London; UK
Ahmed E. Hassan; School of Computing; Queen's University; Canada
Magne Jørgensen; Simula; Norway
Natalia Juristo; Universidad Politecnica de Madrid; Spain
Miryung Kim; University of Texas; USA
Filippo Lanubile; University of Bari; Italy
Luigi Lavazza; Università of Insubria; Italy
Chris Lokan; UNSW; Australia
Stephen Macdonell; Auckland Uni of Technology; New Zealand
Tim Menzies; West Virginia University; USA
Audris Mockus; Avaya Labs Research; USA
Sandro Morasca; Universita' degli Studi dell'Insubria; Italy
Shuji Morisaki; Nara Institute of Science and Technology; Japan
Maurizio Morisio; Politecnico di Torino; Italy
Nachi Nagappan; Microsoft Research; USA
Mel Ó Cinnéide; University College Dublin; Ireland 
Oscar Pastor Lopez; Universidad Politecnica de Valencia; Spain
Dietmar Pfahl; University of Lund; Sweden
Lutz Prechelt; Freie University Berlin; Germany
Rahul Premraj; VU University; Amsterdam; The Netherlands
Marc Roper; Strathclyde; UK
Per Runeson; University of Lund; Sweden
Carolyn Seaman; University of Maryland; Baltimore; USA
Helen Sharp; Open University; UK
Martin Shepperd; Brunel University; UK
Forrest Shull; Fraunhofer Center; Maryland; USA
Harvey Siy; Lucent Technologies; USA
Qinbao Song; Xi'an Jiaotong Univerity; China
Ioannis Stamelos; Aristotle University of Thessaloniki; Greece
Giancarlo Succi; Free University of Bozen-Bolzano; Italy
Guilherme Travassos; COPPE/Federal University of Rio de Janeiro; Brazil
Sira Vegas; Universidad Politecnica de Madrid; Spain
Elaine Weyuker; AT&T Labs - Research; USA
Laurie Williams; North Carolina State University; USA
Claes Wohlin; Blekinge Institute of Technology; Sweden
Thomas Zimmermann; Microsoft Research; USA
