Andreas Jedlitschka; Fraunhofer IESE; Germany
Angelis Lefteris; Aristitele Univ of Thessaloniki; Greece
Anneliese Andrews; University of Denver; USA
Audris Mockus; Avaya Labs Research; USA
Ayse Bener; Bogazici University; Turkey
Barbara Kitchenham; Keele University; UK	
Brian Robinson; ABB Corporate Research; USA
Carolyn Seaman; University of Maryland; USA
Chris Lokan; University of New South Wales; Australia
Claes Wohlin; Blekinge Institute of Technology; Sweden
Dag Sjøberg; University of Oslo; Norway
Daniela Soares Cruzes; Norwegian University of Science and Technology; Norway
Davide Falessi; Simula Research Laboratory & University of Rome Tor Vergata; Italy
Dietmar Pfahl; Lund University; Sweden
Elaine Weyuker; AT&T Labs - Research; USA
Emilia Mendes; Zayed University; UAE
Filippo Lanubile; University of Bari; Italy
Forrest Shull; Fraunhofer Center; Maryland; USA
Giovanni Cantone; Università di Roma "Tor Vergata"; Italy
Guenther Ruhe; University of Calgary; Canada
Guilherme Travassos; COPPE/Federal University of Rio de Janeiro; Brazil
Hakan Erdogmus; Kalemun Research Inc.; Canada
He Zhang; National ICT Australia; Australia
Helen Sharp; Open University; UK
James Miller; University of Alberta; Canada
Jeffrey Carver; University of Alabama; USA
Juergen Munch; University of Helsinki; Finland
Kenich Matsumoto; Nara Institute of Science and Technology; Japan
Laurie Williams ; North Carolina State University; USA
Lutz Prechelt; Freie University Berlin; Germany
Magne Jørgensen ; Simula Research Laboratory; Norway
Marc Roper; University of Strathclyde; UK
Marcela Genero; University of Castilla-La Mancha; Spain
Marco Torchiano; Politecnico di Torino
Marcus Ciolkowski; Fraunhofer IESE; Germany
Maria Teresa Baldassare; University of Bari; Italy
Mark Harman; University College London; UK
Markku Oivu; University of Oulu; Finland
Martin Höst; Lund University; Sweden
Martin Shepperd; Brunel University; UK
Marvin Zelkowitz; University of Maryland; USA
Maurizio Morisio; Politecnico di Torino; Italy
Muhammad Ali Babar; IT University of Copenhagen; Denmark
Nachiappan Nagappan; Microsoft Research; USA
Natalia Juristo; Universidad Politecnica de Madrid; Spain
Pearl Brereton; Keele University; UK
Per Runeson; Lund University; Sweden
Reidar Conradi; Norwegian University of Science and Technology; Norway
Ross Jeffery; National ICT Australia; Australia
Sandro Morasca; Universita' degli Studi dell'Insubria; Italy
Sebastian Elbaum; University of Nebraska; USA
Shuji Morisaki; Nara Institute of Science and Technology; Japan
Sira Vegas; Universidad Politecnica de Madrid; Spain
Stefan Biffl; Technical University Wienna; Austria
Stefan Wagner; University Stuttgart; Germany
Stephen Macdonell; Auckland University of Technology; New Zealand
Thomas Zimmermann; Microsoft Research; USA
Tim Menzies; West Virginia University; USA
Tore Dybå; SINTEF; Norway	
Tracy Hall; Brunel University; UK
Yoshiki Mitani; IPA/Sec; NAIST; Japan
