Jeffrey Carver; University of Alabama
Oscar Dieste; Technical University of Madrid
Bram Adams; Polytechnique Montréal
Ayse Bener;	Ryerson University
Stefan Biffl; Technical University of Vienna
Christian Bird; Microsoft Research
David Budgen; Durham University
Fabio Calefato; University of Bari
Nelly Condori-Fernández; VU University of Amsterdam
Tayana Conte; Federal University of Amazonas
Daniela Cruzes; SINTEF
Maya Daneva; University of Twente
Davide Falessi; University of Maryland
Alessandro Garcia; Pontifical Catholic University of Rio de Janeiro
Munawar Hafiz; Auburn University
Mark Harman; University College London
Clemente	Izurieta; Montana State University
Andreas Jedlitschka; Fraunhofer Center for Experimental Software Engienering
Natalia Juristo; Technical University of Madrid
Filippo Lanubile; University of Bari
Casper Lassenuis; Aalto University
Lucas Layman; Fraunhofer Center for Experimental Software Engienering
Mika Mäntylä; Aalto University
Emilia Mendes; The University of Auckland
Daniel Méndez Fernández; Technical University of Munich
Tim Menzies; North Carolina State University
Audris Mockus; University of Tennessee; Knoxville
Sandro Morasca; Università degli Studi dell'Insubria
Juergen Muench; University of Helsinki
Nachiappan Nagappan; Microsoft Corporation
Sebastian Nanz; ETH Zurich
Markku Oivo; University of Oulu
Carol Passos; SENAI/DR/BA CIMATEC - Fraunhofer Project Center in Bahia
Oscar Pastor Lopez; Technical University of Valencia
Dietmar Pfahl; University of Tartu
Lutz	Prechelt;	Freie Universitaet Berlin
Rafael Prikladnicki; Pontifical Catholic University of Rio Grande do Sul
Fabio Q. B. Da Silva; Federal University of Pernambuco
Marc Roper; University of Strathclyde
Barbara Russo; Free University of Bolzano-Bozen
Mehrdad Sabetzadeh; University of Luxembourg
Carolyn Seaman; University of Maryland; Baltimore County
Forrest Shull; Software Engineering Institute
Martin Solari; Universidad ORT Uruguay
Guilherme Travassos; COPPE/UFRJ
Burak Turhan; University of Oulu
Sira Vegas; Technical University of Madrid
Gursimran Walia; North Dakota State University
Song Wang; University of Waterloo
Jon Whittle; Lancaster University
Yang	Ye; Stevens Institute of Technology
He (Jason) Zhang; Nanjing University
Wen Zhang; Beijing University of Chemical Technology
Thomas Zimmermann; Microsoft Research
