Vittorio Cortellessa; Università dell'Aquila; Italy
Daniel Varró; Budapest University of Technology and Economics; Hungary
Marco Bernardo; Università di Urbino; Italy
Ruth Breu; University of Innsbruck; Austria
Shing-Chi Cheung; The Hong Kong University of Science and Technology
Bojan Cukic; West Virginia University; USA
Juan de Lara; Universidad Autónoma de Madrid; Spain
Ewen Denney; NASA; USA
Jürgen Dingel; Queen's University; Canada
Alexander Egyed; Johannes Kepler University; Austria
Claudia Ermel; Technische Universität Berlin; Germany
Rudolf Ferenc; University of Szeged; Hungary
Holger Giese; Universität Potsdam; Germany
Paul Grace; Lancaster University; UK
Reiko Heckel; University of Leicester; UK
John Hosking; Australian National University
Valerie Issarny; INRIA; France
Jochen Küster; IBM; Switzerland
Raffaela Mirandola; Politecnico di Milano; Italy
Richard Paige; University of York; UK
Dorina Petriu; Carleton University; Canada
Alfonso Pierantonio; Universita dell'Aquila; Italy
Claudia Pons; University of La Plata; Argentina
Abhik Roychoudhury; National University of Singapore
Andy Schürr; TU Darmstadt; Germany
Bran Selic; Malina Software Corp.; Canada
Gabriele Taentzer; Philipps-Universität Marburg; Germany
Nicolai Tillmann; Microsoft Research; USA
Virginie Wiels; Onera; France
Andrea Zisman; City University London; UK
