Alexander Egyed; Johannes Kepler Universität Linz; Austria
Ina Schaefer; Technische Universität Braunschweig; Germany
David Benavides; Universidad de Sevilla; Spain
Lionel Briand; Université de Luxemburg; Luxembourg
Marsha Chechik; University of Toronto; Canada
Vittorio Cortellessa; Università dell'Aquila; Italy
Krzysztof Czarnecki; University of Waterloo; Canada
José Luiz Fiadeiro; Royal Holloway; University of London;UK
Bernd Fischer; Stellenbosch University; South Africa
Dimitra Giannakopoulou; NASA Ames; USA
Stefania Gnesi; ISTI-CNR; Italy
John Grundy; Swinburne University of Technology; Australia
Mark Harman; University College London; UK
Reiko Heckel; University of Leicester; UK
Valerie Issarny; INRIA Paris - Rocquencourt; France
Einar Broch Johnsen; Universitetet i Oslo; Norway
Antónia Lopes; Universidade de Lisboa; Portugal
Henry Muccini; Università dell'Aquila; Italy
John Penix; Google; USA
Arend Rensink; Universiteit Twente; The Netherlands
Julia Rubin; Massachusetts Institute of Technology; USA
Bran Selic; Malina Software Corp.; Canada
Andy Schürr; Technische Universität Darmstadt; Germany
Gabriele Taentzer; Philipps-Universität Marburg; Germany
Tetsuo Tamai; Hosei University; Japan
Sebastián Uchitel; Universidad de Buenos Aires; Argentina / Imperial College; UK
Dániel Varró; Budapest University of Technology and Economics; Hungary
Andrzej Wasowski; ITU Copenhagen; Denmark
Martin Wirsing; Ludwig-Maximilians-Universität München; Germany
Pamela Zave; AT&T Laboratories; USA
