Sven Apel; Universität Passau; Germany
Antonia Bertolino; ISTI-CNR; Italy
Eric Bodden; Technische Universität Darmstadt; Germany
Paulo Borba; Universidade Federal de Pernambuco; Brasil
Chandra Boyapati; Google; USA
Vittorio Cortellessa; Università dell'Aquila; Italy
Robert DeLine; Microsoft; USA
Arie van Deursen; Delft University of Technology; The Netherlands
Elisabetta Di Nitto; Politecnico di Milano; Italy
Massimiliano Di Penta; Università del Sannio; Italy
Michael Ernst; University of Washington; USA
Patrick Eugster; Purdue University; USA
Alessandro Garcia; PUC Rio; Brasil
Paul Grünbacher; Universität Linz; Austria
Mark Harman; University College London; United Kingdom
Patrick Heymans; University of Namur; Belgium
Vladimir Itsykson; Saint Petersburg State Polytechnical University; Russia
Natalia Juristo; University of Madrid; Spain
Eric Wohlstadter; University of British Columbia; Canada
Sunghun Kim; Hong Kong University of Science and Technology; Hong Kong
Patricia Lago; Vrije Universiteit Amsterdam; The Netherlands
Nenad Medvidovic; University of Southern California; USA
Alessandro Orso; Georgia Tech; USA
Harold Ossher; IBM Research; USA
Corina Pasareanu; NASA; USA
Mauro Pezzè; University of Lugano; Switzerland
Awais Rashid; Lancaster University; United Kingdom
Martin Robillard; McGill University; Canada
Wilhelm Schäfer; Universität Paderborn; Germany
Paolo Tonella; Fondazione Bruno Kessler; Italy
Sebastian Uchitel; Universidad de Buenos Aires; Argentina
Willem Visser; Stellenbosch University; South Africa
Andreas Zeller; Universität des Saarlandes; Germany
Andrea Zisman; City University; United Kingdom
