Jonathan Aldrich; Carnegie Mellon University; US
Sven Apel; University of Passau; DE
Emilie Balland; Inria; FR
Don Batory; University of Texas at Austin; US
Paulo Borba; Federal University of Pernambuco; BR
Sebastian Erdweg; TU Darmstadt; DE
Martin Erwig; Oregon State University; US
Bernd Fischer; Stellenbosch University / University of Southampton
Matthew Flatt; University of Utah; US
Mark Grechanik; University of Illinois at Chicago; US
Stefan Hanenberg; Universität Duisburg-Essen; DE
Julia Lawall; Inria/LIP6; FR
Marjan Mernik; University of Maribor; Slovenia
Emerson Murphy-Hill; North Carolina State University; US
Markus Püschel; ETH Zürich; CH
Derek Rayside; University of Waterloo; CA
Ina Schaefer; Technische Universität Braunschweig; DE
Ulrik Pagh Schultz; University of Southern Denmark; DK
Jeremy G. Siek; University of Colorado; US
Yannis Smaragdakis; University of Athens; GR
Tijs van der Storm; Centrum Wiskunde & Informatica; NL
Walid Taha; Halmstad University; SE
Eelco Visser; Delft University of Technology; NL
Jan Vitek; Purdue University; US
Andrzej Wąsowski; IT University of Copenhagen; DK
