Bram Adams;École Polytechnique de Montréal; Canada
Gabriele Bavota;University of Sannio; Italy
Roman Bednarik;University of Eastern Finland
Dirk Beyer;University of Passau
David Binkley;Loyola University; Maryland
Chris Bird;Microsoft Research
Gul Calikli;Ryerson University; Canada
James R. Cordy;Queen's University; Canada
Rudolf Ferenc;University of Szeged (SZTE)
Alessandro Garcia;Pontifical Catholic University of Rio de Janeiro; Brazil
Malcom Gethers;University of Maryland; USA
Mark Grechanik;University of Illinois; Chicago
Sonia Haiduc;Florida	State	University; USA
Stefan Hanenberg;University of Duisburg-Essen; Germany
Emily Hill;Montclair State University
Daqing Hou;Clarkson University; New York
Hiroshi Igaki;Osaka University; Japan
Takashi Ishio;Osaka University; Japan
Elmar Juergens;Technische Universitaet Muenchen
Huzefa H. Kagdi;Wichita State University; Kansas
Takashi Kobayashi;Tokyo Institute of Technology; Japan
Nicholas A. Kraft;University of Alabama; USA
Jens Krinke;University College London; United Kingdom
Ralf Lammel;Software Languages Team; Koblenz
David Lo;Singapore Management University
Andrea De Lucia;University of Salerno; Italy
Mircea Lungu;University of Berne
Lutz Prechelt;Free University; Berlin
Collin McMillan;University of Notre Dame
Rocco Oliveto;University of Molise; Italy
Chris Parnin;College of Computing; Georgia Tech
Denys Poshyvanyk;The College of William and Mary; Williamsburg
Jochen Quante;Robert Bosch GmbH; Stuttgart
Vaclav Rajlich;Wayne State University
Filippo Ricca;University of Genoa; Italy
Romain Robbes;University in Chile; Chile
Coen De Roover;Vrije Universiteit Brussel
Chanchal Kumar Roy;University of Saskatchewan; Canada
Chandan Raj Rupakheti;Rose-Hulman
Bonita Sharif;Youngstown State University
Emad Shihab;Rochester Institute of Technology
Janet Siegmund;University of Passau; Germany
Leif Singer;University of Victoria; Canada
Giriprasad Sridhara;India Research Laboratory; Bangalore; India
Andreas Stefik;Southern Illinois University Edwardsville
Zhenchang Xing;Nankai University; China
